Season,Meeting,Event name,Pos,Car #,Class,Special Class,Drivers,Team,Car,Best lap set,Time,Time timedelta,Laps,Gap,Gap Timedelta,Dropped off the Race
2021,Barcelona,Main Race,1,88,Pro Cup,False,"Raffaele Marciello, Felipe Fraga, Jules Gounon",AKKA ASP,Mercedes-AMG GT3,True,1:47.211,0 days 00:01:47.211000,95,0.000,0 days 00:00:00,False
2021,Barcelona,Main Race,2,54,Pro Cup,False,"Klaus Bachler, Christian Engelhart, Matteo Cairoli",Dinamic Motorsport,Porsche 911 GT3-R (991.II),True,1:47.148,0 days 00:01:47.148000,95,2.174,0 days 00:00:02.174000,False
2021,Barcelona,Main Race,3,32,Pro Cup,False,"Dries Vanthoor, Robin Frijns, Charles Weerts",Team WRT,Audi R8 LMS GT3,True,1:47.612,0 days 00:01:47.612000,95,4.036,0 days 00:00:04.036000,False
2021,Barcelona,Main Race,4,63,Pro Cup,False,"Mirko Bortolotti, Marco Mapelli, Andrea Caldarelli",Orange 1 FFF Racing Team,Lamborghini Huracan GT3 Evo,True,1:47.027,0 days 00:01:47.027000,95,9.511,0 days 00:00:09.511000,False
2021,Barcelona,Main Race,5,4,Pro Cup,False,"Maro Engel, Luca Stolz, Nico Bastian",HRT,Mercedes-AMG GT3,True,1:47.588,0 days 00:01:47.588000,95,9.984,0 days 00:00:09.984000,False
2021,Barcelona,Main Race,6,114,Pro Cup,False,"Konsta Lappalainen, Jack Aitken, Arthur Rougier",Emil Frey Racing,Lamborghini Huracan GT3 Evo,True,1:47.988,0 days 00:01:47.988000,95,14.220,0 days 00:00:14.220000,False
2021,Barcelona,Main Race,7,51,Pro Cup,False,"Alessandro Pier Guidi, Come Ledogar, Nicklas Nielsen",Iron Lynx,Ferrari 488 GT3,True,1:47.869,0 days 00:01:47.869000,95,15.221,0 days 00:00:15.221000,False
2021,Barcelona,Main Race,8,163,Pro Cup,False,"Norbert Siedler, Giacomo Altoe, Albert Costa",Emil Frey Racing,Lamborghini Huracan GT3 Evo,True,1:47.475,0 days 00:01:47.475000,95,15.646,0 days 00:00:15.646000,False
2021,Barcelona,Main Race,9,26,Invitational,True,"Markus Winkelhock, Dennis Lind, Finlay Hutchison",Sainteloc Racing,Audi R8 LMS GT3 EVO2,True,1:47.741,0 days 00:01:47.741000,95,16.049,0 days 00:00:16.049000,False
2021,Barcelona,Main Race,10,22,Pro Cup,False,"Matt Campbell, Earl Bamber, Mathieu Jaminet",GPX Martini Racing,Porsche 911 GT3-R (991.II),True,1:47.545,0 days 00:01:47.545000,95,16.301,0 days 00:00:16.301000,False
2021,Barcelona,Main Race,11,87,Silver Cup,False,"Simon Gachet, Thomas Drouet, Konstantin Tereschenko",AKKA ASP,Mercedes-AMG GT3,True,1:47.493,0 days 00:01:47.493000,95,17.829,0 days 00:00:17.829000,False
2021,Barcelona,Main Race,12,31,Silver Cup,False,"Ryuichiro Tomita, Valdemar Eriksen, Frank Bird",Team WRT,Audi R8 LMS GT3,True,1:47.507,0 days 00:01:47.507000,95,19.952,0 days 00:00:19.952000,False
2021,Barcelona,Main Race,13,38,Pro Cup,False,"Ben Barnicoat, Oliver Wilkinson, Rob Bell",Jota,McLaren 720S GT3,True,1:48.325,0 days 00:01:48.325000,95,21.371,0 days 00:00:21.371000,False
2021,Barcelona,Main Race,14,7,Silver Cup,False,"Marvin Dienst, Berkay Besler, Oscar Tunjo",Toksport WRT,Mercedes-AMG GT3,True,1:47.949,0 days 00:01:47.949000,95,23.709,0 days 00:00:23.709000,False
2021,Barcelona,Main Race,15,99,Silver Cup,False,"Dennis Marschall, Max Hofer, Alex Aka",Attempto Racing,Audi R8 LMS GT3,True,1:48.050,0 days 00:01:48.050000,95,24.140,0 days 00:00:24.140000,False
2021,Barcelona,Main Race,16,82,Invitational,True,"Jesse Krohn, Augusto Farfus, Philipp Eng",BMW M Motorsport,BMW M4 GT3,True,1:48.329,0 days 00:01:48.329000,95,24.483,0 days 00:00:24.483000,False
2021,Barcelona,Main Race,17,33,Silver Cup,False,"David Perel, Fabrizio Crestani, Benja Hites",Rinaldi Racing,Ferrari 488 GT3,True,1:48.161,0 days 00:01:48.161000,95,26.180,0 days 00:00:26.180000,False
2021,Barcelona,Main Race,18,30,Silver Cup,False,"James Pull, Stuart Hall, Benjamin Goethe",Team WRT,Audi R8 LMS GT3,True,1:48.153,0 days 00:01:48.153000,95,26.545,0 days 00:00:26.545000,False
2021,Barcelona,Main Race,19,56,Pro Cup,False,"Romain Dumas, Andrea Rizzoli, Mikkel O. Pedersen",Dinamic Motorsport,Porsche 911 GT3-R (991.II),True,1:48.546,0 days 00:01:48.546000,95,30.026,0 days 00:00:30.026000,False
2021,Barcelona,Main Race,20,14,Silver Cup,False,"Alex Fontana, Rolf Ineichen, Ricardo Feller",Emil Frey Racing,Lamborghini Huracan GT3 Evo,True,1:47.316,0 days 00:01:47.316000,94,5.088,0 days 00:00:05.088000,False
2021,Barcelona,Main Race,21,34,Pro Cup,False,"Nick Yelloly, David Pittard, Jake Dennis",Walkenhorst Motorsport,BMW M6 GT3,True,1:48.280,0 days 00:01:48.280000,94,7.203,0 days 00:00:07.203000,False
2021,Barcelona,Main Race,22,40,Silver Cup,False,"Jordan Love, Miklas Born, Yannick Mettler",SPS automotive performance,Mercedes-AMG GT3,True,1:48.593,0 days 00:01:48.593000,94,10.566,0 days 00:00:10.566000,False
2021,Barcelona,Main Race,23,90,Silver Cup,False,"Ezequiel Perez Companc, Juuso Puhakka, Rik Breukers",Madpanda Motorsport,Mercedes-AMG GT3,True,1:48.199,0 days 00:01:48.199000,94,11.219,0 days 00:00:11.219000,False
