Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,6,Pro Cup,"Luca Stolz, Maro Engel",Mercedes-AMG Team Toksport WRT,Mercedes-AMG GT3,1:24.918,,
2,90,Silver Cup,"Ezequiel Perez Companc, Rik Breukers",Madpanda Motorsport,Mercedes-AMG GT3,1:24.939,,0.021
3,14,Silver Cup,"Ricardo Feller, Alex Fontana",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:24.953,,0.035
4,88,Pro Cup,"Timur Boguslavskiy, Raffaele Marciello",AKKA ASP,Mercedes-AMG GT3,1:24.954,,0.036
5,87,Silver Cup,"Konstantin Tereschenko, Jim Pla",AKKA ASP,Mercedes-AMG GT3,1:25.243,,0.325
6,31,Silver Cup,"Frank Bird, Ryuichiro Tomita",Team WRT,Audi R8 LMS GT3,1:25.340,,0.422
7,25,Pro Cup,"Leo Roussel, Christopher Haase",Sainteloc Racing,Audi R8 LMS GT3,1:25.472,,0.554
8,66,Pro Cup,"Max Hofer, Mattia Drudi",Attempto Racing,Audi R8 LMS GT3,1:25.479,,0.561
9,89,Pro Cup,"Petru Razvan Umbrarescu, Jules Gounon",AKKA ASP,Mercedes-AMG GT GT3 2020,1:25.574,,0.656
10,32,Pro Cup,"Charles Weerts, Dries Vanthoor",Team WRT,Audi R8 LMS GT3,1:25.626,,0.708
11,114,Silver Cup,"Konsta Lappalainen, Arthur Rougier",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:25.643,,0.725
12,222,Pro Cup,"Julien Apotheloz, Klaus Bachler",Team Allied Racing,Porsche 911 GT3-R (991.II),1:25.669,,0.751
13,99,Silver Cup,"Alex Aka, Dennis Marschall",Attempto Racing,Audi R8 LMS GT3,1:25.730,,0.812
14,20,Pro-Am Cup,"Valentin Pierburg, Dominik Baumann",SPS automotive performance,Mercedes-AMG GT3,1:25.779,,0.861
15,30,Pro Cup,"Benjamin Goethe, Christopher Mies",Team WRT,Audi R8 LMS GT3,1:25.818,,0.900
16,107,Silver Cup,"Pierre Alexandre Jean, Ulysse De Pauw",CMR,Bentley Continental GT3,1:25.865,,0.947
17,77,Pro-Am Cup,"Miguel Ramos, Henrique Chaves",Barwell Motorsport,Lamborghini Huracan GT3 Evo,1:25.873,,0.955
18,26,Pro Cup,"Aurelien Panis, Frederic Vervisch",Sainteloc Racing,Audi R8 LMS GT3,1:25.983,,1.065
19,38,Pro Cup,"Ben Barnicoat, Oliver Wilkinson",Jota,McLaren 720S GT3,1:26.050,,1.132
20,7,Silver Cup,"Juuso Puhakka, Oscar Tunjo",Toksport WRT,Mercedes-AMG GT3,1:26.168,,1.250
21,163,Pro Cup,"Norbert Siedler, Albert Costa",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:26.233,,1.315
22,8,Pro-Am Cup,"Kevin Tse, Adam Christodoulou",Ram Racing,Mercedes-AMG GT3,1:26.290,,1.372
23,52,Pro-Am Cup,"Louis Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,1:26.606,,1.688
24,188,Pro-Am Cup,"Alexander West, Jonny Adam",Garage 59,Aston Martin Vantage AMR GT3,1:26.735,,1.817
25,33,Silver Cup,"Patrick Kujala, Benja Hites",Team Rinaldi Racing,Ferrari 488 GT3,1:26.772,,1.854
26,108,Pro Cup,"Nelson Panciatici, Stephane Richelmi",CMR,Bentley Continental GT3,1:26.869,,1.951
27,93,Silver Cup,"Chris Froggatt, Giorgio Roda",SKY - Tempesta Racing,Ferrari 488 GT3,1:27.089,,2.171
