Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,32,Pro Cup,"Charles Weerts, Dries Vanthoor",Team WRT,Audi R8 LMS GT3,1:35.969,,
2,25,Pro Cup,"Leo Roussel, Christopher Haase",Sainteloc Racing,Audi R8 LMS GT3,1:36.249,,0.280
3,87,Silver Cup,"Konstantin Tereschenko, Jim Pla",AKKA ASP,Mercedes-AMG GT3,1:36.332,,0.363
4,93,Silver Cup,"Chris Froggatt, Giorgio Roda",SKY - Tempesta Racing,Ferrari 488 GT3,1:36.371,,0.402
5,14,Silver Cup,"Alex Fontana, Ricardo Feller",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:36.376,,0.407
6,7,Silver Cup,"Oscar Tunjo, Juuso Puhakka",Toksport,Mercedes-AMG GT3,1:36.400,,0.431
7,6,Pro Cup,"Luca Stolz, Maro Engel",Mercedes-AMG Team Toksport WRT,Mercedes-AMG GT3,1:36.443,,0.474
8,31,Silver Cup,"Frank Bird, Ryuichiro Tomita",Team WRT,Audi R8 LMS GT3,1:36.453,,0.484
9,89,Pro Cup,"Petru Razvan Umbrarescu, Jules Gounon",AKKA ASP,Mercedes-AMG GT GT3 2020,1:36.520,,0.551
10,90,Silver Cup,"Ezequiel Perez Companc, Rik Breukers",Madpanda Motorsport,Mercedes-AMG GT3,1:36.535,,0.566
11,30,Pro Cup,"Benjamin Goethe, Kelvin van der Linde",Team WRT,Audi R8 LMS GT3,1:36.591,,0.622
12,26,Pro Cup,"Aurelien Panis, Frederic Vervisch",Sainteloc Racing,Audi R8 LMS GT3,1:36.609,,0.640
13,88,Pro Cup,"Timur Boguslavskiy, Raffaele Marciello",AKKA ASP,Mercedes-AMG GT3,1:36.653,,0.684
14,107,Silver Cup,"Ulysse De Pauw, Pierre Alexandre Jean",CMR,Bentley Continental GT3,1:36.782,,0.813
15,38,Pro Cup,"Oliver Wilkinson, Ben Barnicoat",JOTA,McLaren 720S GT3,1:36.824,,0.855
16,99,Pro Cup,"Tommaso Mosca, Mattia Drudi",Attempto Racing,Audi R8 LMS GT3,1:36.978,,1.009
17,54,Pro Cup,"Adrien De Leener, Christian Engelhart",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:36.979,,1.010
18,33,Silver Cup,"Patrick Kujala, Benjamin Hites",Rinaldi Racing,Ferrari 488 GT3,1:37.181,,1.212
19,159,Silver Cup,"Tuomas Tujula, Nicolai Kjaergaard",Garage 59,Aston Martin Vantage AMR GT3,1:37.224,,1.255
20,114,Pro Cup,"Konsta Lappalainen, Jack Aitken",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:37.353,,1.384
21,188,Pro-Am Cup,"Alexander West, Jonny Adam",Garage 59,Aston Martin Vantage AMR GT3,1:37.353,,1.384
22,66,Pro Cup,"Alex Aka, Christopher Mies",Attempto Racing,Audi R8 LMS GT3,1:37.355,,1.386
23,163,Pro Cup,"Albert Costa, Norbert Siedler",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:37.399,,1.430
24,77,Pro-Am Cup,"Miguel Ramos, Henrique Chaves",Barwell Motorsport,Lamborghini Huracan GT3 Evo,1:37.666,,1.697
25,108,Pro Cup,"Benjamin Lessennes, Stephane Richelmi",CMR,Bentley Continental GT3,1:37.727,,1.758
26,52,Pro-Am Cup,"Louis Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,1:37.844,,1.875
27,20,Pro-Am Cup,"Valentin Pierburg, Dominik Baumann",SPS automotive performance,Mercedes-AMG GT3,1:38.402,,2.433
