Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,25,Pro Cup,"Leo Roussel, Christopher Haase",Sainteloc Racing,Audi R8 LMS GT3,1:32.552,,
2,20,Pro-Am Cup,"Valentin Pierburg, Dominik Baumann",SPS automotive performance,Mercedes-AMG GT3,1:32.565,,0.013
3,32,Pro Cup,"Charles Weerts, Dries Vanthoor",Team WRT,Audi R8 LMS GT3,1:32.667,,0.115
4,107,Silver Cup,"Ulysse De Pauw, Pierre Alexandre Jean",CMR,Bentley Continental GT3,1:32.720,,0.168
5,88,Pro Cup,"Timur Boguslavskiy, Raffaele Marciello",AKKA ASP,Mercedes-AMG GT3,1:32.831,,0.279
6,30,Pro Cup,"Benjamin Goethe, Kelvin van der Linde",Team WRT,Audi R8 LMS GT3,1:32.905,,0.353
7,27,Pro Cup,"Finlay Hutchison, Markus Winkelhock",Sainteloc Racing,Audi R8 LMS GT3,1:32.911,,0.359
8,6,Pro Cup,"Luca Stolz, Maro Engel",Mercedes-AMG Team Toksport WRT,Mercedes-AMG GT3,1:32.939,,0.387
9,87,Silver Cup,"Jim Pla, Konstantin Tereschenko",AKKA ASP,Mercedes-AMG GT3,1:32.942,,0.390
10,38,Pro Cup,"Oliver Wilkinson, Ben Barnicoat",Jota,McLaren 720S GT3,1:32.947,,0.395
11,90,Silver Cup,"Rik Breukers, Ezequiel Perez Companc",Madpanda Motorsport,Mercedes-AMG GT3,1:33.085,,0.533
12,31,Silver Cup,"Frank Bird, Ryuichiro Tomita",Team WRT,Audi R8 LMS GT3,1:33.093,,0.541
13,33,Silver Cup,"Benja Hites, Patrick Kujala",Rinaldi Racing,Ferrari 488 GT3,1:33.100,,0.548
14,26,Pro Cup,"Aurelien Panis, Frederic Vervisch",Sainteloc Racing,Audi R8 LMS GT3,1:33.153,,0.601
15,89,Pro Cup,"Petru Razvan Umbrarescu, Jules Gounon",AKKA ASP,Mercedes-AMG GT GT3 2020,1:33.251,,0.699
16,54,Pro Cup,"Adrien De Leener, Christian Engelhart",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:33.263,,0.711
17,40,Silver Cup,"Jordan Love, Lance-David Arnold",SPS automotive performance,Mercedes-AMG GT3,1:33.298,,0.746
18,188,Pro-Am Cup,"Alexander West, Jonny Adam",Garage 59,Aston Martin Vantage AMR GT3,1:33.321,,0.769
19,14,Silver Cup,"Alex Fontana, Ricardo Feller",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:33.328,,0.776
20,114,Pro Cup,"Konsta Lappalainen, Jack Aitken",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:33.408,,0.856
21,77,Pro-Am Cup,"Miguel Ramos, Henrique Chaves",Barwell Motorsport,Lamborghini Huracan GT3 Evo,1:33.549,,0.997
22,66,Pro Cup,"Fabien Lavergne, Christopher Mies",Attempto Racing,Audi R8 LMS GT3,1:33.560,,1.008
23,99,Silver Cup,"Alex Aka, Dennis Marschall",Attempto Racing,Audi R8 LMS GT3,1:33.743,,1.191
24,108,Pro Cup,"Nelson Panciatici, Stephane Richelmi",CMR,Bentley Continental GT3,1:33.786,,1.234
25,7,Silver Cup,"Oscar Tunjo, Juuso Puhakka",Toksport,Mercedes-AMG GT3,1:33.803,,1.251
26,93,Silver Cup,"Giorgio Roda, Chris Froggatt",SKY - Tempesta Racing,Ferrari 488 GT3,1:33.825,,1.273
27,163,Pro Cup,"Albert Costa, Norbert Siedler",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:33.830,,1.278
28,159,Silver Cup,"Tuomas Tujula, Nicolai Kjaergaard",Garage 59,Aston Martin Vantage AMR GT3,1:33.885,,1.333
29,222,Pro Cup,"Julien Apotheloz, Klaus Bachler",Team Allied Racing,Porsche 911 GT3-R (991.II),1:33.914,,1.362
30,52,Pro-Am Cup,"Louis Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,1:33.937,,1.385
