Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,32,Pro Cup,"Charles Weerts, Dries Vanthoor",Team WRT,Audi R8 LMS GT3,1:32.333,,
2,25,Pro Cup,"Leo Roussel, Christopher Haase",Sainteloc Racing,Audi R8 LMS GT3,1:32.351,,0.018
3,163,Pro Cup,"Albert Costa, Norbert Siedler",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:32.384,,0.051
4,107,Silver Cup,"Ulysse De Pauw, Pierre Alexandre Jean",CMR,Bentley Continental GT3,1:32.393,,0.060
5,26,Pro Cup,"Aurelien Panis, Frederic Vervisch",Sainteloc Racing,Audi R8 LMS GT3,1:32.457,,0.124
6,87,Silver Cup,"Jim Pla, Konstantin Tereschenko",AKKA ASP,Mercedes-AMG GT3,1:32.488,,0.155
7,6,Pro Cup,"Luca Stolz, Maro Engel",Mercedes-AMG Team Toksport WRT,Mercedes-AMG GT3,1:32.505,,0.172
8,88,Pro Cup,"Timur Boguslavskiy, Raffaele Marciello",AKKA ASP,Mercedes-AMG GT3,1:32.560,,0.227
9,90,Silver Cup,"Rik Breukers, Ezequiel Perez Companc",Madpanda Motorsport,Mercedes-AMG GT3,1:32.578,,0.245
10,7,Silver Cup,"Oscar Tunjo, Juuso Puhakka",Toksport,Mercedes-AMG GT3,1:32.744,,0.411
11,14,Silver Cup,"Alex Fontana, Ricardo Feller",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:32.752,,0.419
12,38,Pro Cup,"Oliver Wilkinson, Ben Barnicoat",Jota,McLaren 720S GT3,1:32.847,,0.514
13,108,Pro Cup,"Nelson Panciatici, Stephane Richelmi",CMR,Bentley Continental GT3,1:32.867,,0.534
14,33,Silver Cup,"Benja Hites, Patrick Kujala",Rinaldi Racing,Ferrari 488 GT3,1:32.881,,0.548
15,31,Silver Cup,"Frank Bird, Ryuichiro Tomita",Team WRT,Audi R8 LMS GT3,1:32.890,,0.557
16,159,Silver Cup,"Tuomas Tujula, Nicolai Kjaergaard",Garage 59,Aston Martin Vantage AMR GT3,1:32.973,,0.640
17,54,Pro Cup,"Adrien De Leener, Christian Engelhart",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:32.973,,0.640
18,30,Pro Cup,"Benjamin Goethe, Kelvin van der Linde",Team WRT,Audi R8 LMS GT3,1:33.004,,0.671
19,99,Silver Cup,"Alex Aka, Dennis Marschall",Attempto Racing,Audi R8 LMS GT3,1:33.022,,0.689
20,40,Silver Cup,"Jordan Love, Lance-David Arnold",SPS automotive performance,Mercedes-AMG GT3,1:33.081,,0.748
21,114,Pro Cup,"Konsta Lappalainen, Jack Aitken",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:33.248,,0.915
22,66,Pro Cup,"Fabien Lavergne, Christopher Mies",Attempto Racing,Audi R8 LMS GT3,1:33.271,,0.938
23,89,Pro Cup,"Petru Razvan Umbrarescu, Jules Gounon",AKKA ASP,Mercedes-AMG GT GT3 2020,1:33.356,,1.023
24,93,Silver Cup,"Giorgio Roda, Chris Froggatt",SKY - Tempesta Racing,Ferrari 488 GT3,1:33.419,,1.086
25,27,Pro Cup,"Finlay Hutchison, Markus Winkelhock",Sainteloc Racing,Audi R8 LMS GT3,1:33.625,,1.292
26,52,Pro-Am Cup,"Louis Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,1:33.994,,1.661
27,222,Pro Cup,"Julien Apotheloz, Klaus Bachler",Team Allied Racing,Porsche 911 GT3-R (991.II),1:34.032,,1.699
28,20,Pro-Am Cup,"Valentin Pierburg, Dominik Baumann",SPS automotive performance,Mercedes-AMG GT3,1:34.059,,1.726
29,77,Pro-Am Cup,"Miguel Ramos, Henrique Chaves",Barwell Motorsport,Lamborghini Huracan GT3 Evo,1:34.167,,1.834
30,188,Pro-Am Cup,"Alexander West, Jonny Adam",Garage 59,Aston Martin Vantage AMR GT3,1:34.473,,2.140
