Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,32,Pro Cup,"Charles Weerts, Dries Vanthoor",Team WRT,Audi R8 LMS GT3,1:33.271,38,
2,88,Pro Cup,"Timur Boguslavskiy, Raffaele Marciello",AKKA ASP,Mercedes-AMG GT3,1:33.478,38,11.060
3,30,Pro Cup,"Benjamin Goethe, Kelvin van der Linde",Team WRT,Audi R8 LMS GT3,1:33.682,38,18.025
4,31,Silver Cup,"Frank Bird, Ryuichiro Tomita",Team WRT,Audi R8 LMS GT3,1:33.727,38,18.605
5,114,Pro Cup,"Konsta Lappalainen, Jack Aitken",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:33.562,38,24.758
6,33,Silver Cup,"Benja Hites, Patrick Kujala",Rinaldi Racing,Ferrari 488 GT3,1:33.757,38,27.189
7,89,Pro Cup,"Petru Razvan Umbrarescu, Jules Gounon",AKKA ASP,Mercedes-AMG GT GT3 2020,1:33.961,38,33.645
8,38,Pro Cup,"Oliver Wilkinson, Ben Barnicoat",Jota,McLaren 720S GT3,1:33.927,38,36.744
9,7,Silver Cup,"Oscar Tunjo, Juuso Puhakka",Toksport,Mercedes-AMG GT3,1:34.060,38,37.263
10,26,Pro Cup,"Aurelien Panis, Frederic Vervisch",Sainteloc Racing,Audi R8 LMS GT3,1:34.047,38,38.849
11,14,Silver Cup,"Alex Fontana, Ricardo Feller",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:33.503,38,39.136
12,163,Pro Cup,"Albert Costa, Norbert Siedler",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:33.366,38,39.839
13,159,Silver Cup,"Tuomas Tujula, Nicolai Kjaergaard",Garage 59,Aston Martin Vantage AMR GT3,1:34.038,38,48.712
14,90,Silver Cup,"Rik Breukers, Ezequiel Perez Companc",Madpanda Motorsport,Mercedes-AMG GT3,1:34.151,38,54.315
15,27,Pro Cup,"Finlay Hutchison, Markus Winkelhock",Sainteloc Racing,Audi R8 LMS GT3,1:34.214,38,55.066
16,107,Silver Cup,"Ulysse De Pauw, Pierre Alexandre Jean",CMR,Bentley Continental GT3,1:34.319,38,56.547
17,66,Pro Cup,"Fabien Lavergne, Christopher Mies",Attempto Racing,Audi R8 LMS GT3,1:34.236,38,1:01.166
18,188,Pro-Am Cup,"Alexander West, Jonny Adam",Garage 59,Aston Martin Vantage AMR GT3,1:33.497,38,1:04.031
19,20,Pro-Am Cup,"Valentin Pierburg, Dominik Baumann",SPS automotive performance,Mercedes-AMG GT3,1:34.174,38,1:04.032
20,108,Pro Cup,"Nelson Panciatici, Stephane Richelmi",CMR,Bentley Continental GT3,1:33.753,38,1:05.412
21,40,Silver Cup,"Jordan Love, Lance David-Arnold",SPS automotive performance,Mercedes-AMG GT3,1:34.015,38,1:05.638
22,93,Silver Cup,"Giorgio Roda, Chris Froggatt",SKY - Tempesta Racing,Ferrari 488 GT3,1:34.276,38,1:10.022
23,77,Pro-Am Cup,"Miguel Ramos, Henrique Chaves",Barwell Motorsport,Lamborghini Huracan GT3 Evo,1:34.241,38,1:11.947
24,6,Pro Cup,"Luca Stolz, Maro Engel",Mercedes-AMG Team Toksport WRT,Mercedes-AMG GT3,1:33.291,38,1:12.884
25,52,Pro-Am Cup,"Louis Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,1:34.434,38,1:17.992
26,222,Pro Cup,"Julien Apotheloz, Klaus Bachler",Team Allied Racing,Porsche 911 GT3-R (991.II),1:34.767,38,1:21.980
NC,25,Pro Cup,"Leo Roussel, Christopher Haase",Sainteloc Racing,Audi R8 LMS GT3,1:34.143,16,-34:58.011
NC,99,Silver Cup,"Alex Aka, Dennis Marschall",Attempto Racing,Audi R8 LMS GT3,1:34.556,14,-37:29.676
NC,87,Silver Cup,"Jim Pla, Konstantin Tereschenko",AKKA ASP,Mercedes-AMG GT3,1:34.083,11,-39:53.709
