Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,4,Pro Cup,"Maro Engel, Luca Stolz, Vincent Abril",HRT,Mercedes-AMG GT3,1:49.622,35,
2,87,Silver Cup,"Simon Gachet, Konstantin Tereschenko, Thomas Drouet",AKKA ASP,Mercedes-AMG GT3,1:49.730,35,1.837
3,88,Pro Cup,"Raffaele Marciello, Daniel Juncadella, Jules Gounon",AKKA ASP,Mercedes-AMG GT3,1:49.212,35,2.009
4,54,Pro Cup,"Matteo Cairoli, Klaus Bachler, Christian Engelhart",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:49.791,35,2.344
5,19,Pro-AM Cup,"Phil Keen, Hiroshi Hamaguchi",Orange 1 FFF Racing Team,Lamborghini Huracan GT3 Evo,1:51.814,35,3.450
6,66,Pro Cup,"Mattia Drudi, Christopher Mies, Kim Luis Schramm",Attempto Racing,Audi R8 LMS GT3,1:50.298,35,3.831
7,163,Pro Cup,"Giacomo Altoe, Norbert Siedler, Albert Costa",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:49.395,35,4.092
8,33,Silver Cup,"Benjamin Hites, Patrick Kujala",Rinaldi Racing,Ferrari 488 GT3,1:50.608,35,4.629
9,71,Pro Cup,"Antonio Fuoco, Callum Ilott, Davide Rigon",Iron Lynx,Ferrari 488 GT3,1:49.284,35,4.692
10,5,Silver Cup,"Hubert Haupt, Patrick Assenheimer, Ricardo Sanchez",HRT,Mercedes-AMG GT3,1:50.364,35,5.275
11,26,Pro Cup,"Markus Winkelhock, Finlay Hutchison, Frederic Vervisch",Sainteloc Racing,Audi R8 LMS GT3,1:50.045,35,6.156
12,7,Silver Cup,"Oscar Tunjo, Paul Petit, Marvin Dienst",Toksport,Mercedes-AMG GT3,1:50.005,35,6.715
13,90,Silver Cup,"Ezequiel Perez Companc, Rik Breukers",Madpanda Motorsport,Mercedes-AMG GT3,1:50.257,35,7.226
14,30,Silver Cup,"James Pull, Stuart Hall, Benjamin Goethe",Team WRT,Audi R8 LMS GT3,1:50.358,35,7.666
15,34,Pro Cup,"Sheldon van der Linde, Marco Wittmann, David Pittard",Walkenhorst Motorsport,BMW M6 GT3,1:49.677,35,7.765
16,57,Silver Cup,"Russel Ward, Mikael Grenier, Philip Ellis",Winward Racing,Mercedes-AMG GT3,1:50.677,35,8.025
17,31,Silver Cup,"Ryuichiro Tomita, Frank Bird, Valdemar Eriksen",Team WRT,Audi R8 LMS GT3,1:50.099,35,9.002
18,114,Pro Cup,"Arthur Rougier, Konsta Lappalainen, Jack Aitken",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:50.050,35,9.277
19,40,Silver Cup,"Yannick Mettler, Jordan Love, Miklas Born",SPS automotive performance,Mercedes-AMG GT3,1:51.900,35,9.663
20,77,Pro-AM Cup,"Adrian Amstutz, Miguel Ramos, Henrique Chaves",Barwell Motorsport,Lamborghini Huracan GT3 Evo,1:51.853,35,9.933
21,99,Silver Cup,"Dennis Marschall, Alex Aka, Tommaso Mosca",Attempto Racing,Audi R8 LMS GT3,1:50.462,35,11.801
22,51,Pro Cup,"Alessandro Pier Guidi, Nicklas Nielsen, Come Ledogar",Iron Lynx,Ferrari 488 GT3,1:49.358,35,12.745
23,14,Silver Cup,"Alex Fontana, Rolf Ineichen, Ricardo Feller",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:50.162,35,19.699
24,10,Pro-AM Cup,"Karim Ojjeh, Jens Liebhauser, Jens Klingmann",Boutsen Ginion,BMW M6 GT3,1:51.505,35,21.114
25,2,Pro-AM Cup,"Nico Bastian, Olivier Grotz, Florian Scholze",GetSpeed,Mercedes-AMG GT3,1:51.865,35,21.580
26,188,Pro-AM Cup,"Alexander West, Chris Goodwin, Jonny Adam",Garage 59,Aston Martin Vantage AMR GT3,1:51.795,35,21.894
27,159,Silver Cup,"Nicolai Kjaergaard, Alex MacDowall, Valentin Hasse Clot",Garage 59,Aston Martin Vantage AMR GT3,1:50.578,35,28.068
28,56,Pro Cup,"Andrea Rizzoli, Mikkel O. Pedersen, Romain Dumas",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:50.352,35,29.920
29,16,Silver Cup,"Clemens Schmid, Tim Zimmermann, Kikko Galbiati",GRT Grasser Racing Team,Lamborghini Huracan GT3 Evo,1:50.600,34,0.644
30,20,Pro-AM Cup,"Dominik Baumann, Valentin Pierburg",SPS automotive performance,Mercedes-AMG GT3,1:51.970,34,1.484
31,52,Pro-AM Cup,"Lorenzo Bontempelli, Louis Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,1:51.494,34,3.645
32,93,Pro-AM Cup,"Chris Froggatt, Stefan Görig, Edward Cheever",SKY - Tempesta Racing,Ferrari 488 GT3,1:53.271,34,29.756
33,107,Pro-AM Cup,"Gilles Vannelet, Stuart White, Nelson Panciatici",CMR,Bentley Continental GT3,1:50.020,33,-2:32.806
34,63,Pro Cup,"Mirko Bortolotti, Marco Mapelli, Andrea Caldarelli",Orange 1 FFF Racing Team,Lamborghini Huracan GT3 Evo,1:48.961,33,-2:27.519
35,35,Pro Cup,"Timo Glock, Martin Tomczyk, Thomas Neubauer",Walkenhorst Motorsport,BMW M6 GT3,1:49.857,32,29.065
36,32,Pro Cup,"Dries Vanthoor, Kelvin van der Linde, Charles Weerts",Team WRT,Audi R8 LMS GT3,1:49.192,29,-19:29.194
37,22,Pro Cup,"Matt Campbell, Earl Bamber, Mathieu Jaminet",GPX Martini Racing,Porsche 911 GT3-R (991.II),1:49.317,26,-23:10.343
38,38,Pro Cup,"Ben Barnicoat, Oliver Wilkinson, Rob Bell",JOTA,McLaren 720S GT3,2:03.105,24,8.665
39,11,Pro-AM Cup,"Tim Kohmann, Francesco Zollo, Giorgio Roda",Kessel Racing,Ferrari 488 GT3,1:55.022,18,-25:23.977
40,69,Pro-AM Cup,"Rob Collard, Sam de Haan, Callum MacLeod",Ram Racing,Mercedes-AMG GT3,1:50.901,8,-1:16:05.510
41,25,Pro Cup,"Adrien Tambay, Alexandre Cougnaud, Christopher Haase",Sainteloc Racing,Audi R8 LMS GT3,,2,-1:18:14.532
42,70,Pro-AM Cup,"Oliver Millroy, Brendan Iribe",Inception Racing,McLaren 720S GT3,,1,-1:29:07.011
