Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,7,Silver Cup,"Oscar Tunjo, Paul Petit, Marvin Dienst",Toksport WRT,Mercedes-AMG GT3,1:54.811,,
2,4,Pro Cup,"Maro Engel, Luca Stolz, Nico Bastian",HRT,Mercedes-AMG GT3,1:55.033,,0.222
3,114,Pro Cup,"Konsta Lappalainen, Luca Ghiotto, Arthur Rougier",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:55.121,,0.310
4,2,Pro-AM Cup,"Jim Pla, Olivier Grotz, Florian Scholze",GetSpeed,Mercedes-AMG GT3,1:55.134,,0.323
5,97,Pro-AM Cup,"Ahmad Al Harthy, Giacomo Petrobelli, Maxime Martin",Oman Racing Team,Aston Martin Vantage AMR GT3,1:55.227,,0.416
6,163,Pro Cup,"Norbert Siedler, Giacomo Altoe, Albert Costa",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:55.320,,0.509
7,99,Silver Cup,"Dennis Marschall, Max Hofer, Alex Aka",Attempto Racing,Audi R8 LMS GT3,1:55.463,,0.652
8,25,Pro Cup,"Adrien Tambay, Alexandre Cougnaud, Christopher Haase",Sainteloc Racing,Audi R8 LMS GT3,1:55.647,,0.836
9,33,Silver Cup,"David Perel, Benja Hites, Patrick Kujala",Rinaldi Racing,Ferrari 488 GT3,1:55.676,,0.865
10,69,Pro-AM Cup,"Rob Collard, Sam de Haan, Fabian Schiller",Ram Racing,Mercedes-AMG GT3,1:55.744,,0.933
11,16,Silver Cup,"Clemens Schmid, Kikko Galbiati, Tim Zimmermann",GRT Grasser Racing Team,Lamborghini Huracan GT3 Evo,1:55.797,,0.986
12,26,Pro Cup,"Markus Winkelhock, Finlay Hutchison, Frederic Vervisch",Sainteloc Racing,Audi R8 LMS GT3,1:55.851,,1.040
13,77,Pro-AM Cup,"Henrique Chaves, Adrian Amstutz, Miguel Ramos",Barwell Motorsport,Lamborghini Huracan GT3 Evo,1:55.867,,1.056
14,88,Pro Cup,"Raffaele Marciello, Felipe Fraga, Jules Gounon",AKKA ASP,Mercedes-AMG GT3,1:55.874,,1.063
15,32,Pro Cup,"Dries Vanthoor, Charles Weerts, Robin Frijns",Team WRT,Audi R8 LMS GT3,1:55.879,,1.068
16,63,Pro Cup,"Mirko Bortolotti, Marco Mapelli, Andrea Caldarelli",Orange 1 FFF Racing Team,Lamborghini Huracan GT3 Evo,1:55.918,,1.107
17,30,Silver Cup,"James Pull, Stuart Hall, Benjamin Goethe",Team WRT,Audi R8 LMS GT3,1:55.930,,1.119
18,14,Silver Cup,"Alex Fontana, Rolf Ineichen, Ricardo Feller",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:56.017,,1.206
19,40,Silver Cup,"Yannick Mettler, Jordan Love, Miklas Born",SPS automotive performance,Mercedes-AMG GT3,1:56.027,,1.216
20,38,Pro Cup,"Ben Barnicoat, Oliver Wilkinson, Rob Bell",Jota,McLaren 720S GT3,1:56.042,,1.231
21,56,Pro Cup,"Andrea Rizzoli, Mikkel O. Pedersen, Romain Dumas",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:56.073,,1.262
22,34,Pro Cup,"Nick Yelloly, David Pittard, Jake Dennis",Walkenhorst Motorsport,BMW M6 GT3,1:56.075,,1.264
23,35,Pro Cup,"Nicky Catsburg, Martin Tomczyk, Thomas Neubauer",Walkenhorst Motorsport,BMW M6 GT3,1:56.098,,1.287
24,54,Pro Cup,"Matteo Cairoli, Klaus Bachler, Christian Engelhart",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:56.171,,1.360
25,71,Pro Cup,"Callum Ilott, Alessio Rovera, Antonio Fuoco",Iron Lynx,Ferrari 488 GT3,1:56.183,,1.372
26,22,Pro Cup,"Matt Campbell, Earl Bamber, Mathieu Jaminet",GPX Martini Racing,Porsche 911 GT3-R (991.II),1:56.470,,1.659
27,222,Silver Cup,"Bastian Buus, Joel Sturm, Julien Apotheloz",Team Allied Racing,Porsche 911 GT3-R (991.II),1:56.563,,1.752
28,20,Pro-AM Cup,"Dominik Baumann, Valentin Pierburg, Martin Konrad",SPS automotive performance,Mercedes-AMG GT3,1:56.568,,1.757
29,93,Pro-AM Cup,"Rino Mastronardi, Jonathan Hui, Chris Froggatt",SKY - Tempesta Racing,Ferrari 488 GT3,1:56.569,,1.758
30,66,Pro Cup,"Mattia Drudi, Nicolas Schöll, Christopher Mies",Attempto Racing,Audi R8 LMS GT3,1:56.631,,1.820
