Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,22,Pro Cup,"Matt Campbell, Earl Bamber",GPX Martini Racing,Porsche 911 GT3-R (991.II),1:54.284,,
2,163,Pro Cup,"Norbert Siedler, Giacomo Altoe",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:54.392,,0.108
3,63,Pro Cup,"Mirko Bortolotti, Marco Mapelli",Orange 1 FFF Racing Team,Lamborghini Huracan GT3 Evo,1:54.456,,0.172
4,71,Pro Cup,"Callum Ilott, Alessio Rovera",Iron Lynx,Ferrari 488 GT3,1:54.550,,0.266
5,88,Pro Cup,"Raffaele Marciello, Felipe Fraga",AKKA ASP,Mercedes-AMG GT3,1:54.585,,0.301
6,114,Pro Cup,"Konsta Lappalainen, Luca Ghiotto",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:54.654,,0.370
7,14,Silver Cup,"Alex Fontana, Rolf Ineichen",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:54.669,,0.385
8,97,Pro-AM Cup,"Ahmad Al Harthy, Giacomo Petrobelli",Oman Racing Team,Aston Martin Vantage AMR GT3,1:54.800,,0.516
9,7,Silver Cup,"Oscar Tunjo, Paul Petit",Toksport WRT,Mercedes-AMG GT3,1:54.848,,0.564
10,16,Silver Cup,"Clemens Schmid, Kikko Galbiati",GRT Grasser Racing Team,Lamborghini Huracan GT3 Evo,1:54.894,,0.610
11,51,Pro Cup,"Alessandro Pier Guidi, Come Ledogar",Iron Lynx,Ferrari 488 GT3,1:54.985,,0.701
12,188,Pro-AM Cup,"Chris Goodwin, Alexander West",Garage 59,Aston Martin Vantage AMR GT3,1:55.025,,0.741
13,90,Silver Cup,"Ezequiel Perez Companc, Ricardo Sanchez",Madpanda Motorsport,Mercedes-AMG GT3,1:55.030,,0.746
14,69,Pro-AM Cup,"Rob Collard, Sam de Haan",Ram Racing,Mercedes-AMG GT3,1:55.035,,0.751
15,159,Silver Cup,"Alex MacDowall, Nicolai Kjaergaard",Garage 59,Aston Martin Vantage AMR GT3,1:55.045,,0.761
16,54,Pro Cup,"Matteo Cairoli, Klaus Bachler",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:55.073,,0.789
17,26,Pro Cup,"Markus Winkelhock, Finlay Hutchison",Sainteloc Racing,Audi R8 LMS GT3,1:55.125,,0.841
18,4,Pro Cup,"Maro Engel, Luca Stolz",HRT,Mercedes-AMG GT3,1:55.168,,0.884
19,52,Pro-AM Cup,"Louis Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,1:55.216,,0.932
20,66,Pro Cup,"Mattia Drudi, Nicolas Schöll",Attempto Racing,Audi R8 LMS GT3,1:55.295,,1.011
21,34,Pro Cup,"Nick Yelloly, David Pittard",Walkenhorst Motorsport,BMW M6 GT3,1:55.295,,1.011
22,25,Pro Cup,"Adrien Tambay, Alexandre Cougnaud",Sainteloc Racing,Audi R8 LMS GT3,1:55.412,,1.128
23,107,Silver Cup,"Stephane Tribaudini, Stuart White",CMR,Bentley Continental GT3,1:55.445,,1.161
24,40,Silver Cup,"Yannick Mettler, Jordan Love",SPS automotive performance,Mercedes-AMG GT3,1:55.451,,1.167
25,93,Pro-AM Cup,"Rino Mastronardi, Jonathan Hui",SKY - Tempesta Racing,Ferrari 488 GT3,1:55.461,,1.177
26,32,Pro Cup,"Dries Vanthoor, Charles Weerts",Team WRT,Audi R8 LMS GT3,1:55.472,,1.188
27,99,Silver Cup,"Dennis Marschall, Max Hofer",Attempto Racing,Audi R8 LMS GT3,1:55.488,,1.204
28,222,Silver Cup,"Bastian Buus, Joel Sturm",Team Allied Racing,Porsche 911 GT3-R (991.II),1:55.528,,1.244
29,31,Silver Cup,"Ryuichiro Tomita, Valdemar Eriksen",Team WRT,Audi R8 LMS GT3,1:55.564,,1.280
30,35,Pro Cup,"Nicky Catsburg, Martin Tomczyk",Walkenhorst Motorsport,BMW M6 GT3,1:55.596,,1.312
31,33,Silver Cup,"David Perel, Benja Hites",Rinaldi Racing,Ferrari 488 GT3,1:55.824,,1.540
32,87,Silver Cup,"Simon Gachet, Thomas Drouet",AKKA ASP,Mercedes-AMG GT3,1:55.833,,1.549
33,56,Pro Cup,"Andrea Rizzoli, Mikkel O. Pedersen",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:55.890,,1.606
34,53,Pro-AM Cup,"Duncan Cameron, Matt Griffin",AF Corse,Ferrari 488 GT3,1:55.991,,1.707
35,30,Silver Cup,"James Pull, Stuart Hall",Team WRT,Audi R8 LMS GT3,1:56.004,,1.720
36,5,Silver Cup,"Michele Beretta, Patrick Assenheimer",HRT,Mercedes-AMG GT3,1:56.129,,1.845
37,19,Pro-AM Cup,"Phil Keen, Stefano Costantini",Orange 1 FFF Racing Team,Lamborghini Huracan GT3 Evo,1:56.181,,1.897
38,11,Pro-AM Cup,"Tim Kohmann, Francesco Zollo",Kessel Racing,Ferrari 488 GT3,1:56.382,,2.098
39,10,Pro-AM Cup,"Jens Liebhauser, Karim Ojjeh",Boutsen Ginion,BMW M6 GT3,1:56.573,,2.289
40,2,Pro-AM Cup,"Jim Pla, Olivier Grotz",GetSpeed,Mercedes-AMG GT3,1:56.812,,2.528
41,20,Pro-AM Cup,"Dominik Baumann, Valentin Pierburg",SPS automotive performance,Mercedes-AMG GT3,1:56.894,,2.610
42,77,Pro-AM Cup,"Henrique Chaves, Adrian Amstutz",Barwell Motorsport,Lamborghini Huracan GT3 Evo,1:56.906,,2.622
DNS,57,Silver Cup,"Russel Ward, Mikael Grenier",Winward Racing,Mercedes-AMG GT3,,,
