Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,6,Pro Cup,"Luca Stolz, Maro Engel",Mercedes-AMG Team Toksport WRT,Mercedes-AMG GT3,1:33.412,37,
2,89,Pro Cup,"Petru Razvan Umbrarescu, Jules Gounon",AKKA ASP,Mercedes-AMG GT GT3 2020,1:33.973,37,15.357
3,163,Pro Cup,"Norbert Siedler, Albert Costa",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:33.925,37,16.101
4,38,Pro Cup,"Ben Barnicoat, Oliver Wilkinson",Jota,McLaren 720S GT3,1:33.306,37,18.730
5,54,Pro Cup,"Adrien De Leener, Christian Engelhart",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:34.091,37,28.376
6,87,Silver Cup,"Konstantin Tereschenko, Jim Pla",AKKA ASP,Mercedes-AMG GT3,1:34.441,37,33.374
7,90,Silver Cup,"Ezequiel Perez Companc, Rik Breukers",Madpanda Motorsport,Mercedes-AMG GT3,1:34.096,37,33.729
8,7,Silver Cup,"Oscar Tunjo, Juuso Puhakka",Toksport WRT,Mercedes-AMG GT3,1:34.090,37,34.601
9,26,Pro Cup,"Aurelien Panis, Markus Winkelhock",Sainteloc Racing,Audi R8 LMS GT3,1:34.282,37,35.284
10,25,Pro Cup,"Leo Roussel, Christopher Haase",Sainteloc Racing,Audi R8 LMS GT3,1:34.519,37,43.022
11,66,Pro Cup,"Kikko Galbiati, Mattia Drudi",Attempto Racing,Audi R8 LMS GT3,1:34.918,37,48.500
12,14,Silver Cup,"Ricardo Feller, Alex Fontana",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:33.735,37,50.147
13,30,Pro Cup,"Benjamin Goethe, Robin Frijns",Team WRT,Audi R8 LMS GT3,1:34.327,37,49.369
14,20,Pro-Am Cup,"Valentin Pierburg, Dominik Baumann",SPS automotive performance,Mercedes-AMG GT3,1:34.586,37,52.877
15,107,Silver Cup,"Ulysse De Pauw, Pierre Alexandre Jean",CMR,Bentley Continental GT3,1:34.088,37,54.098
16,31,Silver Cup,"Frank Bird, Ryuichiro Tomita",Team WRT,Audi R8 LMS GT3,1:34.486,37,54.590
17,93,Silver Cup,"Chris Froggatt, Edward Cheever",SKY - Tempesta Racing,Ferrari 488 GT3,1:34.400,37,57.277
18,88,Pro Cup,"Timur Boguslavskiy, Raffaele Marciello",AKKA ASP,Mercedes-AMG GT3,1:34.387,37,1:00.740
19,159,Silver Cup,"Tuomas Tujula, Nicolai Kjaergaard",Garage 59,Aston Martin Vantage AMR GT3,1:34.489,37,1:02.489
20,188,Pro-Am Cup,"Alexander West, Jonny Adam",Garage 59,Aston Martin Vantage AMR GT3,1:35.145,37,1:15.488
21,222,Pro Cup,"Julien Apotheloz, Klaus Bachler",Team Allied Racing,Porsche 911 GT3-R (991.II),1:34.919,37,1:15.823
22,77,Pro-Am Cup,"Miguel Ramos, Henrique Chaves",Barwell Motorsport,Lamborghini Huracan GT3 Evo,1:35.126,37,1:16.151
23,52,Pro-Am Cup,"Louis Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,1:35.258,37,1:25.249
24,99,Silver Cup,"Dennis Marschall, Alex Aka",Attempto Racing,Audi R8 LMS GT3,1:33.964,28,-13:33.051
NC,32,Pro Cup,"Charles Weerts, Dries Vanthoor",Team WRT,Audi R8 LMS GT3,,2,-55:56.029
NC,108,Pro Cup,"Stephane Richelmi, Nelson Panciatici",CMR,Bentley Continental GT3,,2,-55:20.619
NC,114,Silver Cup,"Konsta Lappalainen, Arthur Rougier",Emil Frey Racing,Lamborghini Huracan GT3 Evo,,1,-58:36.436
