Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,88,Pro Cup,"Raffaele Marciello, Daniel Juncadella, Jules Gounon",AMG Team AKKODIS ASP,Mercedes-AMG GT3,1:37.643,,
2,66,Pro Cup,"Markus Winkelhock, Kim Luis Schramm, Dennis Marschall",Attempto Racing,Audi R8 LMS evo II GT3,1:37.644,,0.001
3,32,Pro Cup,"Dries Vanthoor, Kelvin van der Linde, Charles Weerts",Team WRT,Audi R8 LMS evo II GT3,1:37.766,,0.123
4,7,Gold Cup,"Oliver Millroy, Brendan Iribe, Frederik Schandorff",Inception Racing,McLaren 720S GT3,1:37.905,,0.262
5,111,Pro Cup,"Christian Klien, Vincent Abril, Dennis Lind",JP Motorsport,McLaren 720S GT3,1:37.913,,0.270
6,159,Silver Cup,"Vargas Manuel Maldonado, Nicolai Kjaergaard, Dean Macdonald",Garage 59,McLaren 720S GT3,1:37.958,,0.315
7,12,Pro Cup,"Christopher Haase, Mattia Drudi, Luca Ghiotto",Tresor by Car Collection,Audi R8 LMS evo II GT3,1:37.968,,0.325
8,30,Silver Cup,"Jean-Baptiste Simmenauer, Benjamin Goethe, Thomas Neubauer",Team WRT,Audi R8 LMS evo II GT3,1:37.977,,0.334
9,2,Pro Cup,"Maro Engel, Luca Stolz, Steijn Schothorst",AMG Team GetSpeed,Mercedes-AMG GT3,1:38.032,,0.389
10,25,Pro Cup,"Christopher Mies, Patric Niederhauser, Lucas Legeret",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:38.047,,0.404
11,87,Silver Cup,"Casper Stevenson, Tommaso Mosca, Thomas Drouet",AKKODIS ASP Team,Mercedes-AMG GT3,1:38.098,,0.455
12,14,Silver Cup,"Konsta Lappalainen, Mick Wishofer, Stuart White",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:38.120,,0.477
13,19,Pro Cup,"Leo Roussel, Arthur Rougier, Giacomo Altoe",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:38.123,,0.480
14,63,Pro Cup,"Jack Aitken, Albert Costa, Mirko Bortolotti",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:38.132,,0.489
15,54,Pro Cup,"Klaus Bachler, Alessio Picariello, Matteo Cairoli",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:38.134,,0.491
16,51,Pro Cup,"James Calado, Miguel Molina, Nicklas Nielsen",Iron Lynx,Ferrari 488 GT3,1:38.186,,0.543
17,911,Gold Cup,"Ralf Bohn, Alfred Renauer, Robert Renauer",Herberth Motorsport,Porsche 911 GT3-R (991.II),1:38.201,,0.558
18,98,Pro Cup,"Augusto Farfus, Nick Yelloly, Nicky Catsburg",Rowe Racing,BMW M4 GT3,1:38.204,,0.561
19,71,Pro Cup,"Alessio Rovera, Davide Rigon, Antonio Fuoco",Iron Lynx,Ferrari 488 GT3,1:38.205,,0.562
20,10,Gold Cup,"Karim Ojjeh, Benjamin Lessennes, Adam Eteki",Boutsen Racing,Audi R8 LMS evo II GT3,1:38.266,,0.623
21,50,Pro Cup,"Max Hesse, Neil Verhagen, Daniel Harper",Rowe Racing,BMW M4 GT3,1:38.280,,0.637
22,20,Pro-AM Cup,"Ian Loggie, Valentin Pierburg, Dominik Baumann",SPS automotive performance,Mercedes-AMG GT3,1:38.326,,0.683
23,188,Pro-AM Cup,"Alexander West, Miguel Ramos, Henrique Chaves",Garage 59,McLaren 720S GT3,1:38.330,,0.687
24,46,Pro Cup,"Frederic Vervisch, Nico Müller, Valentino Rossi",Team WRT,Audi R8 LMS evo II GT3,1:38.386,,0.743
25,22,Silver Cup,"Dominik Fischli, Patrik Matthiesen, Joel Sturm",Allied Racing,Porsche 911 GT3-R (991.II),1:38.441,,0.798
26,38,Pro Cup,"Rob Bell, Oliver Wilkinson, Marvin Kirchhöfer",Jota,McLaren 720S GT3,1:38.454,,0.811
27,26,Silver Cup,"Aurelien Panis, Cesar Gazeau, Nicolas Baert",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:38.491,,0.848
28,33,Gold Cup,"Ryuichiro Tomita, Arnold Robin, Maxime Robin",Team WRT,Audi R8 LMS evo II GT3,1:38.493,,0.850
29,99,Silver Cup,"Marius Zug, Nicolas Schöll, Alex Aka",Attempto Racing,Audi R8 LMS evo II GT3,1:38.526,,0.883
30,57,Gold Cup,"Jens Liebhauser, Lorenzo Ferrari, Lucas Auer",Winward Racing,Mercedes-AMG GT3,1:38.540,,0.897
31,90,Silver Cup,"Sean Walkinshaw, Patrick Assenheimer, Ezequiel Perez Companc",Madpanda Motorsport,Mercedes-AMG GT3,1:38.542,,0.899
32,56,Silver Cup,"Giorgio Roda, Marius Nakken, Mikkel O. Pedersen",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:38.556,,0.913
33,91,Gold Cup,"Alex Malykhin, Ayhancan Guven",Allied Racing,Porsche 911 GT3-R (991.II),1:38.557,,0.914
34,11,Silver Cup,"Thierry Vermeulen, Lorenzo Patrese, Hugo Valente",Tresor by Car Collection,Audi R8 LMS evo II GT3,1:38.623,,0.980
35,5,Gold Cup,"Florian Scholze, Arjun Maini, Hubert Haupt",Haupt Racing Team,Mercedes-AMG GT3,1:38.689,,1.046
36,21,Gold Cup,"Hugo Delacour, Cedric Sbirrazzuoli, Alessandro Balzan",AF Corse,Ferrari 488 GT3,1:38.771,,1.128
37,27,Silver Cup,"Brendon Leitch, Isaac Tutumlu Lopez, Jusuf Owega",Leipert Motorsport,Lamborghini Huracan GT3 Evo,1:38.781,,1.138
38,93,Gold Cup,"Eddie Cheever, Martin Konrad, Chris Froggatt",SKY - Tempesta Racing,Mercedes-AMG GT3,1:38.796,,1.153
39,4,Silver Cup,"Jannes Fittje, Jordan Love, Alain Valente",Haupt Racing Team,Mercedes-AMG GT3,1:38.804,,1.161
40,777,Silver Cup,"Al Faisal Al Zubair, Axcil Jefferies, Fabian Schiller",Al Manar Racing by HRT,Mercedes-AMG GT3,1:38.842,,1.199
41,3,Silver Cup,"Jeffrey Kingsley, Sebastien Baud, Valdemar Eriksen",GetSpeed,Mercedes-AMG GT3,1:38.875,,1.232
42,77,Silver Cup,"Alex MacDowall, Sam de Haan, Patrick Kujala",Barwell Motorsport,Lamborghini Huracan GT3 Evo,1:38.929,,1.286
43,563,Silver Cup,"Michele Beretta, Yuki Nemoto, Benjamin Hites",VSR,Lamborghini Huracan GT3 Evo,1:38.929,,1.286
44,163,Silver Cup,"Marcus Paverud, Baptiste Moulin, Michael Dörrbecker",VSR,Lamborghini Huracan GT3 Evo,1:38.985,,1.342
45,31,Silver Cup,"Diego Menchaca, Lewis Proctor, Finlay Hutchison",Team WRT,Audi R8 LMS evo II GT3,1:39.000,,1.357
46,112,Gold Cup,"Maciej Blazek, Patryk Krupinski, Norbert Siedler",JP Motorsport,McLaren 720S GT3,1:39.023,,1.380
47,8,Gold Cup,"Nicolas Gomar, Loris Cabirou, Mike Parisy",AGS Events,Lamborghini Huracan GT3 Evo,1:39.070,,1.427
48,52,Pro-AM Cup,"Stefano Costantini, Louis Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,1:39.147,,1.504
49,83,Gold Cup,"Rahel Frey, Sarah Bovy, Michelle Gatting",Iron Dames,Ferrari 488 GT3,1:39.435,,1.792
