Pos,Car #,Class,Drivers,Team,Car,Avg Time,Time 1,Time 2,Time 3,Time 4
1,32,Pro Cup,"Dries Vanthoor, Kelvin van der Linde, Charles Weerts",Team WRT,Audi R8 LMS evo II GT3,1:37.478,1:37.625,1:37.480,1:37.329,
2,71,Pro Cup,"Alessio Rovera, Davide Rigon, Antonio Fuoco",Iron Lynx,Ferrari 488 GT3,1:37.616,1:37.659,1:37.752,1:37.439,
3,63,Pro Cup,"Jack Aitken, Albert Costa, Mirko Bortolotti",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:37.751,1:37.940,1:37.609,1:37.706,
4,12,Pro Cup,"Christopher Haase, Mattia Drudi, Luca Ghiotto",Tresor by Car Collection,Audi R8 LMS evo II GT3,1:37.755,1:37.982,1:37.819,1:37.466,
5,111,Pro Cup,"Christian Klien, Vincent Abril, Dennis Lind",JP Motorsport,McLaren 720S GT3,1:37.832,1:38.240,1:37.747,1:37.511,
6,25,Pro Cup,"Christopher Mies, Patric Niederhauser, Lucas Legeret",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:37.857,1:37.942,1:37.671,1:37.959,
7,51,Pro Cup,"James Calado, Miguel Molina, Nicklas Nielsen",Iron Lynx,Ferrari 488 GT3,1:37.885,1:38.229,1:37.752,1:37.676,
8,30,Silver Cup,"Jean-Baptiste Simmenauer, Benjamin Goethe, Thomas Neubauer",Team WRT,Audi R8 LMS evo II GT3,1:37.908,1:38.307,1:37.899,1:37.518,
9,2,Pro Cup,"Maro Engel, Luca Stolz, Steijn Schothorst",AMG Team GetSpeed,Mercedes-AMG GT3,1:37.911,1:38.203,1:37.584,1:37.946,
10,46,Pro Cup,"Frederic Vervisch, Nico Müller, Valentino Rossi",Team WRT,Audi R8 LMS evo II GT3,1:37.920,1:37.735,1:38.002,1:38.025,
11,66,Pro Cup,"Markus Winkelhock, Kim Luis Schramm, Dennis Marschall",Attempto Racing,Audi R8 LMS evo II GT3,1:37.977,1:38.025,1:38.227,1:37.680,
12,14,Silver Cup,"Konsta Lappalainen, Mick Wishofer, Stuart White",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:38.016,1:37.971,1:37.942,1:38.137,
13,159,Silver Cup,"Vargas Manuel Maldonado, Nicolai Kjaergaard, Dean Macdonald",Garage 59,McLaren 720S GT3,1:38.045,1:39.137,1:37.528,1:37.470,
