Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,12,Pro Cup,"Christopher Haase, Mattia Drudi, Luca Ghiotto",Tresor by Car Collection,Audi R8 LMS evo II GT3,1:38.841,50,
2,2,Pro Cup,"Maro Engel, Luca Stolz, Steijn Schothorst",AMG Team GetSpeed,Mercedes-AMG GT3,1:39.161,50,2.385
3,25,Pro Cup,"Christopher Mies, Patric Niederhauser, Lucas Legeret",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:39.017,50,3.012
4,14,Silver Cup,"Konsta Lappalainen, Mick Wishofer, Stuart White",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:39.199,50,3.638
5,66,Pro Cup,"Markus Winkelhock, Kim Luis Schramm, Dennis Marschall",Attempto Racing,Audi R8 LMS evo II GT3,1:38.981,50,5.859
6,88,Pro Cup,"Raffaele Marciello, Daniel Juncadella, Jules Gounon",AMG Team AKKODIS ASP,Mercedes-AMG GT3,1:39.139,50,5.884
7,54,Pro Cup,"Klaus Bachler, Alessio Picariello, Matteo Cairoli",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:39.191,50,7.613
8,46,Pro Cup,"Frederic Vervisch, Nico Müller, Valentino Rossi",Team WRT,Audi R8 LMS evo II GT3,1:39.172,50,8.218
9,111,Pro Cup,"Christian Klien, Vincent Abril, Dennis Lind",JP Motorsport,McLaren 720S GT3,1:39.163,50,14.778
10,63,Pro Cup,"Jack Aitken, Albert Costa, Mirko Bortolotti",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:38.738,50,15.113
11,26,Silver Cup,"Aurelien Panis, Cesar Gazeau, Nicolas Baert",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:39.397,50,16.429
12,99,Silver Cup,"Marius Zug, Nicolas Schöll, Alex Aka",Attempto Racing,Audi R8 LMS evo II GT3,1:39.616,50,24.619
13,50,Pro Cup,"Max Hesse, Neil Verhagen, Daniel Harper",Rowe Racing,BMW M4 GT3,1:39.668,50,26.201
14,98,Pro Cup,"Augusto Farfus, Nick Yelloly, Nicky Catsburg",Rowe Racing,BMW M4 GT3,1:39.525,50,28.976
15,87,Silver Cup,"Casper Stevenson, Tommaso Mosca, Thomas Drouet",AKKODIS ASP Team,Mercedes-AMG GT3,1:39.586,50,33.620
16,11,Silver Cup,"Thierry Vermeulen, Lorenzo Patrese, Hugo Valente",Tresor by Car Collection,Audi R8 LMS evo II GT3,1:39.294,50,34.616
17,159,Silver Cup,"Vargas Manuel Maldonado, Nicolai Kjaergaard, Dean Macdonald",Garage 59,McLaren 720S GT3,1:39.393,50,37.820
18,777,Silver Cup,"Al Faisal Al Zubair, Axcil Jefferies, Fabian Schiller",Al Manar Racing by HRT,Mercedes-AMG GT3,1:39.488,50,38.457
19,30,Silver Cup,"Jean-Baptiste Simmenauer, Benjamin Goethe, Thomas Neubauer",Team WRT,Audi R8 LMS evo II GT3,1:39.255,50,38.959
20,911,Gold Cup,"Ralf Bohn, Alfred Renauer, Robert Renauer",Herberth Motorsport,Porsche 911 GT3-R (991.II),1:39.332,50,40.027
21,31,Silver Cup,"Diego Menchaca, Lewis Proctor, Finlay Hutchison",Team WRT,Audi R8 LMS evo II GT3,1:39.485,50,47.209
22,51,Pro Cup,"James Calado, Miguel Molina, Nicklas Nielsen",Iron Lynx,Ferrari 488 GT3,1:39.366,50,48.955
23,83,Gold Cup,"Rahel Frey, Sarah Bovy, Michelle Gatting",Iron Dames,Ferrari 488 GT3,1:39.524,50,55.200
24,563,Silver Cup,"Michele Beretta, Yuki Nemoto, Benjamin Hites",VSR,Lamborghini Huracan GT3 Evo,1:39.823,50,56.225
25,7,Gold Cup,"Oliver Millroy, Brendan Iribe, Frederik Schandorff",Inception Racing,McLaren 720S GT3,1:39.530,50,59.643
26,5,Gold Cup,"Florian Scholze, Arjun Maini, Hubert Haupt",Haupt Racing Team,Mercedes-AMG GT3,1:39.909,50,1:03.900
27,21,Gold Cup,"Hugo Delacour, Cedric Sbirrazzuoli, Alessandro Balzan",AF Corse,Ferrari 488 GT3,1:39.944,50,1:11.680
28,27,Silver Cup,"Brendon Leitch, Isaac Tutumlu Lopez, Jusuf Owega",Leipert Motorsport,Lamborghini Huracan GT3 Evo,1:39.691,50,1:14.873
29,163,Silver Cup,"Marcus Paverud, Baptiste Moulin, Michael Dörrbecker",VSR,Lamborghini Huracan GT3 Evo,1:40.106,50,1:15.165
30,22,Silver Cup,"Dominik Fischli, Patrik Matthiesen, Joel Sturm",Allied Racing,Porsche 911 GT3-R (991.II),1:39.838,50,1:17.420
31,188,Pro-AM Cup,"Alexander West, Miguel Ramos, Henrique Chaves",Garage 59,McLaren 720S GT3,1:40.175,50,1:18.267
32,57,Gold Cup,"Jens Liebhauser, Lorenzo Ferrari, Lucas Auer",Winward Racing,Mercedes-AMG GT3,1:39.913,50,1:20.199
33,112,Gold Cup,"Maciej Blazek, Patryk Krupinski, Norbert Siedler",JP Motorsport,McLaren 720S GT3,1:40.461,50,1:25.591
34,19,Pro Cup,"Leo Roussel, Arthur Rougier, Giacomo Altoe",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:38.887,50,1:26.355
35,56,Silver Cup,"Giorgio Roda, Marius Nakken, Mikkel O. Pedersen",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:40.594,50,1:33.376
36,3,Silver Cup,"Jeffrey Kingsley, Sebastien Baud, Valdemar Eriksen",GetSpeed,Mercedes-AMG GT3,1:41.034,50,1:36.080
37,33,Gold Cup,"Ryuichiro Tomita, Arnold Robin, Maxime Robin",Team WRT,Audi R8 LMS evo II GT3,1:40.131,50,1:41.280
38,10,Gold Cup,"Karim Ojjeh, Benjamin Lessennes, Adam Eteki",Boutsen Racing,Audi R8 LMS evo II GT3,1:39.627,49,1.478
39,91,Gold Cup,"Alex Malykhin, Ayhancan Guven",Allied Racing,Porsche 911 GT3-R (991.II),1:39.788,49,5.157
40,52,Pro-AM Cup,"Stefano Costantini, Louis Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,1:40.217,49,5.424
41,8,Gold Cup,"Nicolas Gomar, Loris Cabirou, Mike Parisy",AGS Events,Lamborghini Huracan GT3 Evo,1:39.879,49,8.692
42,93,Gold Cup,"Eddie Cheever, Martin Konrad, Chris Froggatt",SKY - Tempesta Racing,Mercedes-AMG GT3,1:40.827,49,17.829
43,20,Pro-AM Cup,"Ian Loggie, Valentin Pierburg, Dominik Baumann",SPS automotive performance,Mercedes-AMG GT3,1:40.635,49,22.090
44,77,Silver Cup,"Alex MacDowall, Sam de Haan, Patrick Kujala",Barwell Motorsport,Lamborghini Huracan GT3 Evo,1:40.231,49,36.856
45,90,Silver Cup,"Sean Walkinshaw, Patrick Assenheimer, Ezequiel Perez Companc",Madpanda Motorsport,Mercedes-AMG GT3,1:40.832,36,-21:41.159
46,32,Pro Cup,"Dries Vanthoor, Kelvin van der Linde, Charles Weerts",Team WRT,Audi R8 LMS evo II GT3,1:38.650,31,-31:12.683
47,4,Silver Cup,"Jannes Fittje, Jordan Love, Alain Valente",Haupt Racing Team,Mercedes-AMG GT3,1:39.530,31,-30:58.369
48,71,Pro Cup,"Alessio Rovera, Davide Rigon, Antonio Fuoco",Iron Lynx,Ferrari 488 GT3,2:26.927,14,-1:00:58.077
NC,38,Pro Cup,"Rob Bell, Oliver Wilkinson, Marvin Kirchhöfer",Jota,McLaren 720S GT3,,,
