Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,38,Pro Cup,"Rob Bell, Oliver Wilkinson",Jota,McLaren 720S GT3,1:39.489,,
2,88,Pro Cup,"Raffaele Marciello, Daniel Juncadella",Mercedes AMG AKKODIS ASP Team,Mercedes-AMG GT3,1:39.559,,0.070
3,7,Gold Cup,"Oliver Millroy, Brendan Iribe",Inception Racing,McLaren 720S GT3,1:39.818,,0.329
4,63,Pro Cup,"Jack Aitken, Albert Costa",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:39.925,,0.436
5,2,Pro Cup,"Maro Engel, Steijn Schothorst",Mercedes-AMG Team GetSpeed,Mercedes-AMG GT3,1:40.003,,0.514
6,51,Pro Cup,"Miguel Molina, Nicklas Nielsen",Iron Lynx,Ferrari 488 GT3,1:40.052,,0.563
7,54,Pro Cup,"Klaus Bachler, Come Ledogar",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:40.056,,0.567
8,32,Pro Cup,"Dries Vanthoor, Kelvin van der Linde",Team WRT,Audi R8 LMS GT3 EVO2,1:40.059,,0.570
9,71,Pro Cup,"Davide Rigon, Daniel Serra",Iron Lynx,Ferrari 488 GT3,1:40.087,,0.598
10,10,Gold Cup,"Adam Eteki, Karim Ojjeh",Boutsen Racing,Audi R8 LMS GT3 EVO2,1:40.124,,0.635
11,911,Gold Cup,"Ralf Bohn, Alfred Renauer",Herberth Motorsport,Porsche 911 GT3-R (991.II),1:40.133,,0.644
12,26,Silver Cup,"Cesar Gazeau, Nicolas Baert",Sainteloc Junior Team,Audi R8 LMS GT3 EVO2,1:40.135,,0.646
13,25,Pro Cup,"Lucas Legeret, Patric Niederhauser",Sainteloc Junior Team,Audi R8 LMS GT3 EVO2,1:40.146,,0.657
14,57,Gold Cup,"Jens Liebhauser, Lorenzo Ferrari",Winward Racing,Mercedes-AMG GT3,1:40.167,,0.678
15,50,Pro Cup,"Neil Verhagen, Max Hesse",Rowe Racing,BMW M4 GT3,1:40.185,,0.696
16,19,Pro Cup,"Arthur Rougier, Leo Roussel",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:40.195,,0.706
17,99,Silver Cup,"Marius Zug, Nicolas Schöll",Attempto Racing,Audi R8 LMS GT3 EVO2,1:40.203,,0.714
18,5,Gold Cup,"Hubert Haupt, Florian Scholze",Haupt Racing Team,Mercedes-AMG GT3,1:40.270,,0.781
19,95,Pro Cup,"Maxime Martin, Marco Sorensen",Beechdean AMR,Aston Martin Vantage AMR GT3,1:40.291,,0.802
20,111,Pro Cup,"Christian Klien, Vincent Abril",JP Motorsport,McLaren 720S GT3,1:40.324,,0.835
21,14,Silver Cup,"Stuart White, Tuomas Tujula",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:40.405,,0.916
22,777,Silver Cup,"Fabian Schiller, Al Faisal Al Zubair",Al Manar Racing by HRT,Mercedes-AMG GT3,1:40.463,,0.974
23,98,Pro Cup,"Augusto Farfus, Nick Yelloly",Rowe Racing,BMW M4 GT3,1:40.522,,1.033
24,22,Silver Cup,"Patrik Matthiesen, Dominik Fischli",Allied Racing,Porsche 911 GT3-R (991.II),1:40.542,,1.053
25,21,Gold Cup,"Hugo Delacour, Cedric Sbirrazzuoli",AF Corse,Ferrari 488 GT3,1:40.560,,1.071
26,93,Gold Cup,"Jonathan Hui, Chris Froggatt",SKY - Tempesta Racing,Mercedes-AMG GT3,1:40.575,,1.086
27,83,Gold Cup,"Rahel Frey, Sarah Bovy",Iron Dames,Ferrari 488 GT3,1:40.583,,1.094
28,563,Silver Cup,"Michele Beretta, Yuki Nemoto",VSR,Lamborghini Huracan GT3 Evo,1:40.610,,1.121
29,52,Pro-AM Cup,"Stefano Costantini, Louis Machiels",AF Corse,Ferrari 488 GT3,1:40.719,,1.230
30,12,Pro Cup,"Christopher Haase, Mattia Drudi",Tresor by Car Collection,Audi R8 LMS GT3 EVO2,1:40.720,,1.231
31,66,Pro Cup,"Juuso Puhakka, Markus Winkelhock",Attempto Racing,Audi R8 LMS GT3 EVO2,1:40.736,,1.247
32,30,Silver Cup,"Thomas Neubauer, Benjamin Goethe",Team WRT,Audi R8 LMS GT3 EVO2,1:40.858,,1.369
33,87,Silver Cup,"Tommaso Mosca, Konstantin Tereschenko",AKKODIS ASP Team,Mercedes-AMG GT3,1:40.905,,1.416
34,78,Gold Cup,"Ben Barker, Alex Malykhin",Barwell Motorsport,Lamborghini Huracan GT3 Evo,1:40.939,,1.450
