Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,32,Pro Cup,"Dries Vanthoor, Kelvin van der Linde",Team WRT,Audi R8 LMS GT3 EVO2,1:40.389,94,
2,88,Pro Cup,"Raffaele Marciello, Daniel Juncadella",Mercedes-AMG AKKODIS ASP Team,Mercedes-AMG GT3,1:40.528,94,6.200
3,2,Pro Cup,"Maro Engel, Steijn Schothorst",Mercedes-AMG Team GetSpeed,Mercedes-AMG GT3,1:40.947,94,12.180
4,12,Pro Cup,"Christopher Haase, Mattia Drudi",Tresor by Car Collection,Audi R8 LMS GT3 EVO2,1:40.858,94,12.541
5,111,Pro Cup,"Christian Klien, Vincent Abril",JP Motorsport,McLaren 720S GT3,1:41.059,94,20.655
6,54,Pro Cup,"Klaus Bachler, Come Ledogar",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:41.067,94,21.235
7,51,Pro Cup,"Miguel Molina, Nicklas Nielsen",Iron Lynx,Ferrari 488 GT3,1:41.140,94,21.827
8,71,Pro Cup,"Davide Rigon, Daniel Serra",Iron Lynx,Ferrari 488 GT3,1:40.896,94,22.188
9,25,Pro Cup,"Lucas Legeret, Patric Niederhauser",Sainteloc Junior Team,Audi R8 LMS GT3 EVO2,1:40.578,94,23.592
10,38,Pro Cup,"Rob Bell, Oliver Wilkinson",Jota,McLaren 720S GT3,1:40.744,94,23.994
11,98,Pro Cup,"Augusto Farfus, Nick Yelloly",Rowe Racing,BMW M4 GT3,1:40.773,94,24.877
12,95,Pro Cup,"Maxime Martin, Marco Sorensen",Beechdean AMR,Aston Martin Vantage AMR GT3,1:40.375,94,26.302
13,63,Pro Cup,"Jack Aitken, Albert Costa",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:40.846,94,26.882
14,30,Silver Cup,"Thomas Neubauer, Benjamin Goethe",Team WRT,Audi R8 LMS GT3 EVO2,1:41.085,94,27.424
15,50,Pro Cup,"Neil Verhagen, Max Hesse",Rowe Racing,BMW M4 GT3,1:40.863,94,28.206
16,99,Silver Cup,"Marius Zug, Nicolas Schöll",Attempto Racing,Audi R8 LMS GT3 EVO2,1:40.931,94,39.455
17,46,Pro Cup,"Frederic Vervisch, Nico Müller",Team WRT,Audi R8 LMS GT3 EVO2,1:40.837,94,39.831
18,911,Gold Cup,"Ralf Bohn, Alfred Renauer",Herberth Motorsport,Porsche 911 GT3-R (991.II),1:41.698,94,45.356
19,21,Gold Cup,"Hugo Delacour, Cedric Sbirrazzuoli",AF Corse,Ferrari 488 GT3,1:41.951,94,49.492
20,159,Silver Cup,"Ethan Siminoni, Vargas Manuel Maldonado",Garage 59,McLaren 720S GT3,1:41.735,94,51.913
21,26,Silver Cup,"Cesar Gazeau, Nicolas Baert",Sainteloc Junior Team,Audi R8 LMS GT3 EVO2,1:41.211,94,52.235
22,777,Silver Cup,"Fabian Schiller, Al Faisal Al Zubair",Al Manar Racing by HRT,Mercedes-AMG GT3,1:41.487,94,52.672
23,5,Gold Cup,"Hubert Haupt, Florian Scholze",Haupt Racing Team,Mercedes-AMG GT3,1:41.363,94,53.421
24,563,Silver Cup,"Michele Beretta, Yuki Nemoto",VSR,Lamborghini Huracan GT3 Evo,1:41.709,94,1:01.901
25,78,Gold Cup,"Ben Barker, Alex Malykhin",Barwell Motorsport,Lamborghini Huracan GT3 Evo,1:41.913,94,1:04.047
26,163,Silver Cup,"Marcus Paverud, Baptiste Moulin",VSR,Lamborghini Huracan GT3 Evo,1:41.966,94,1:05.011
27,31,Silver Cup,"Finlay Hutchison, Diego Menchaca",Team WRT,Audi R8 LMS GT3 EVO2,1:41.754,94,1:05.394
28,14,Silver Cup,"Stuart White, Tuomas Tujula",Emil Frey Racing,Lamborghini Huracan GT3 Evo,1:41.659,94,1:07.442
29,56,Silver Cup,"Giorgio Roda, Mauro Calamia",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:42.309,94,1:14.481
30,11,Silver Cup,"Lorenzo Patrese, Hugo Valente",Tresor by Car Collection,Audi R8 LMS GT3 EVO2,1:41.198,94,1:38.835
31,10,Gold Cup,"Adam Eteki, Karim Ojjeh",Boutsen Racing,Audi R8 LMS GT3 EVO2,1:41.903,93,34.576
32,20,Pro-AM Cup,"Dominik Baumann, Valentin Pierburg",SPS automotive performance,Mercedes-AMG GT3,1:41.600,93,38.940
33,52,Pro-AM Cup,"Stefano Costantini, Louis Machiels",AF Corse,Ferrari 488 GT3,1:41.966,93,59.938
34,188,Pro-AM Cup,"Henrique Chaves, Miguel Ramos",Garage 59,McLaren 720S GT3,1:41.338,93,1:00.751
35,93,Gold Cup,"Jonathan Hui, Chris Froggatt",SKY - Tempesta Racing,Mercedes-AMG GT3,1:41.851,93,1:15.348
36,22,Silver Cup,"Patrik Matthiesen, Dominik Fischli",Allied Racing,Porsche 911 GT3-R (991.II),1:41.433,93,1:20.176
37,4,Silver Cup,"Jordan Love, Jannes Fittje",Haupt Racing Team,Mercedes-AMG GT3,1:42.082,93,1:24.816
38,7,Gold Cup,"Oliver Millroy, Brendan Iribe",Inception Racing,McLaren 720S GT3,1:41.000,92,26.520
39,8,Gold Cup,"Mike Parisy, Loris Cabirou",AGS Events,Lamborghini Huracan GT3 Evo,1:43.024,91,19.342
40,77,Gold Cup,"Sandy Mitchell, Rob Collard",Barwell Motorsport,Lamborghini Huracan GT3 Evo,1:41.443,86,1:02.382
NC,33,Gold Cup,"Ryuichiro Tomita, Arnold Robin",Team WRT,Audi R8 LMS GT3 EVO2,,,
NC,66,Pro Cup,"Juuso Puhakka, Markus Winkelhock",Attempto Racing,Audi R8 LMS GT3 EVO2,1:41.351,21,-2:19:59.643
