Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,32,Pro Cup,"Charles Weerts, Dries Vanthoor",Team WRT,Audi R8 LMS evo II GT3,1:36.724,37,
2,89,Pro Cup,"Timur Boguslavskiy, Raffaele Marciello",AKKODIS ASP Team,Mercedes-AMG GT3,1:36.500,37,3.138
3,11,Pro Cup,"Simon Gachet, Christopher Haase",Tresor by Car Collection,Audi R8 LMS evo II GT3,1:37.187,37,8.924
4,25,Pro Cup,"Aurelien Panis, Patric Niederhauser",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:36.899,37,13.685
5,12,Pro Cup,"Mattia Drudi, Luca Ghiotto",Tresor by Car Collection,Audi R8 LMS evo II GT3,1:37.105,37,23.702
6,26,Silver Cup,"Gilles Magnus, Nicolas Baert",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:37.747,37,32.390
7,53,Silver Cup,"Pierre Alexandre Jean, Ulysse De Pauw",AF Corse,Ferrari 488 GT3,1:37.836,37,32.979
8,87,Silver Cup,"Thomas Drouet, Casper Stevenson",AKKODIS ASP Team,Mercedes-AMG GT3,1:37.786,37,33.828
9,33,Pro Cup,"Jean-Baptiste Simmenauer, Christopher Mies",Team WRT,Audi R8 LMS evo II GT3,1:37.524,37,34.249
10,88,Pro Cup,"Jim Pla, Maxi Götz",AKKODIS ASP Team,Mercedes-AMG GT3,1:37.836,37,35.869
11,30,Silver Cup,"Benjamin Goethe, Thomas Neubauer",Team WRT,Audi R8 LMS evo II GT3,1:37.555,37,38.480
12,54,Pro Cup,"Adrien De Leener, Christian Engelhart",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:36.844,37,43.595
13,66,Pro Cup,"Pieter Schothorst, Dennis Marschall",Attempto Racing,Audi R8 LMS evo II GT3,1:37.541,37,44.619
14,99,Silver Cup,"Nicolas Schöll, Alex Aka",Attempto Racing,Audi R8 LMS evo II GT3,1:37.505,37,51.835
15,46,Pro Cup,"Valentino Rossi, Frederic Vervisch",Team WRT,Audi R8 LMS evo II GT3,1:37.179,37,53.407
16,159,Silver Cup,"Vargas Manuel Maldonado, Ethan Simioni",Garage 59,McLaren 720S GT3,1:37.626,37,58.389
17,86,Silver Cup,"Petru Razvan Umbrarescu, Igor Walilko",AKKODIS ASP Team,Mercedes-AMG GT3,1:37.615,37,1:00.844
18,188,Pro-Am Cup,"Miguel Ramos, Dean Macdonald",Garage 59,McLaren 720S GT3,1:37.474,37,1:10.174
19,93,Silver Cup,"Eddie Cheever, Chris Froggatt",SKY - Tempesta Racing,Mercedes-AMG GT3,1:38.369,37,1:17.274
20,56,Pro Cup,"Giorgio Roda, Klaus Bachler",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:37.617,37,1:17.762
21,111,Pro-Am Cup,"Patryk Krupinski, Christian Klien",JP Motorsport,McLaren 720S GT3,1:37.813,37,1:21.716
22,21,Pro-Am Cup,"Hugo Delacour, Cedric Sbirrazzuoli",AF Corse,Ferrari 488 GT3,1:37.895,37,1:23.340
23,52,Pro-Am Cup,"Louis Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,1:38.265,37,1:36.278
24,18,Silver Cup,"Gerhard Tweraser, Isaac Tutumlu",GSM NOVAMARINE,Lamborghini Huracan GT3 Evo,1:38.848,36,27.248
