Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,25,Pro Cup,"Aurelien Panis, Patric Niederhauser",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:31.625,,
2,89,Pro Cup,"Timur Boguslavskiy, Raffaele Marciello",AKKODIS ASP,Mercedes-AMG GT3,1:31.652,,0.027
3,11,Pro Cup,"Simon Gachet, Christopher Haase",Tresor by Car Collection,Audi R8 LMS evo II GT3,1:31.690,,0.065
4,32,Pro Cup,"Charles Weerts, Dries Vanthoor",Team WRT,Audi R8 LMS evo II GT3,1:31.695,,0.070
5,30,Silver Cup,"Thomas Neubauer, Benjamin Goethe",Team WRT,Audi R8 LMS evo II GT3,1:31.781,,0.156
6,56,Pro Cup,"Giorgio Roda, Klaus Bachler",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:32.014,,0.389
7,53,Silver Cup,"Pierre Alexandre Jean, Ulysse De Pauw",AF Corse,Ferrari 488 GT3,1:32.154,,0.529
8,54,Pro Cup,"Adrien De Leener, Christian Engelhart",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:32.175,,0.550
9,33,Pro Cup,"Jean-Baptiste Simmenauer, Christopher Mies",Team WRT,Audi R8 LMS evo II GT3,1:32.236,,0.611
10,12,Pro Cup,"Lorenzo Patrese, Mattia Drudi",Tresor by Car Collection,Audi R8 LMS evo II GT3,1:32.242,,0.617
11,26,Silver Cup,"Nicolas Baert, Lucas Legeret",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:32.309,,0.684
12,159,Silver Cup,"Vargas Manuel Maldonado, Ethan Simioni",Garage 59,McLaren 720S GT3,1:32.399,,0.774
13,663,Pro Cup,"Alberto di Folco, Albert Costa",Imperiale Racing,Lamborghini Huracan GT3 Evo,1:32.413,,0.788
14,66,Pro Cup,"Pieter Schothorst, Dennis Marschall",Attempto Racing,Audi R8 LMS evo II GT3,1:32.423,,0.798
15,87,Silver Cup,"Casper Stevenson, Thomas Drouet",AKKODIS ASP,Mercedes-AMG GT3,1:32.432,,0.807
16,888,Pro-Am Cup,"Mattia Di Giusto, Jonathan Cecotto",LP Racing,Lamborghini Huracan GT3 Evo,1:32.476,,0.851
17,88,Pro Cup,"Jules Gounon, Jim Pla",AKKODIS ASP,Mercedes-AMG GT3,1:32.546,,0.921
18,46,Pro Cup,"Valentino Rossi, Frederic Vervisch",Team WRT,Audi R8 LMS evo II GT3,1:32.597,,0.972
19,99,Silver Cup,"Alex Aka, Nicolas Schöll",Attempto Racing,Audi R8 LMS evo II GT3,1:32.690,,1.065
20,188,Pro-Am Cup,"Miguel Ramos, Dean Macdonald",Garage 59,McLaren 720S GT3,1:32.845,,1.220
21,86,Silver Cup,"Igor Walilko, Petru Razvan Umbrarescu",AKKODIS ASP,Mercedes-AMG GT3,1:32.846,,1.221
22,52,Pro-Am Cup,"Louis Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,1:32.867,,1.242
23,93,Silver Cup,"Eddie Cheever, Chris Froggatt",SKY - Tempesta Racing,Mercedes-AMG GT3,1:33.017,,1.392
24,21,Pro-Am Cup,"Hugo Delacour, Cedric Sbirrazzuoli",AF Corse,Ferrari 488 GT3,1:33.162,,1.537
25,111,Pro-Am Cup,"Patryk Krupinski, Norbert Siedler",JP Motorsport,McLaren 720S GT3,1:33.231,,1.606
26,112,Pro Cup,"Vincent Abril, Dennis Lind",JP Motorsport,McLaren 720S GT3,1:33.384,,1.759
27,18,Silver Cup,"Danny Kroes, Daan Pijl",GSM NOVAMARINE,Lamborghini Huracan GT3 Evo,1:33.809,,2.184
