Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,32,Pro Cup,"Charles Weerts, Dries Vanthoor",Team WRT,Audi R8 LMS evo II GT3,1:35.112,35,
2,88,Pro Cup,"Jules Gounon, Jim Pla",AKKODIS ASP,Mercedes-AMG GT3,1:35.209,35,2.812
3,11,Pro Cup,"Simon Gachet, Christopher Haase",Tresor by Car Collection,Audi R8 LMS evo II GT3,1:34.896,35,5.166
4,53,Silver Cup,"Ulysse De Pauw, Pierre Alexandre Jean",AF Corse,Ferrari 488 GT3,1:35.348,35,8.604
5,25,Pro Cup,"Aurelien Panis, Patric Niederhauser",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:34.979,35,8.944
6,66,Pro Cup,"Pieter Schothorst, Dennis Marschall",Attempto Racing,Audi R8 LMS evo II GT3,1:35.263,35,9.387
7,87,Silver Cup,"Casper Stevenson, Thomas Drouet",AKKODIS ASP,Mercedes-AMG GT3,1:35.738,35,10.958
8,12,Pro Cup,"Luca Ghiotto, Mattia Drudi",Tresor by Car Collection,Audi R8 LMS evo II GT3,1:35.435,35,11.518
9,33,Pro Cup,"Jean-Baptiste Simmenauer, Christopher Mies",Team WRT,Audi R8 LMS evo II GT3,1:35.243,35,11.687
10,30,Silver Cup,"Thomas Neubauer, Benjamin Goethe",Team WRT,Audi R8 LMS evo II GT3,1:35.310,35,16.882
11,56,Pro Cup,"Giorgio Roda, Klaus Bachler",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:35.211,35,17.698
12,99,Silver Cup,"Alex Aka, Nicolas Schöll",Attempto Racing,Audi R8 LMS evo II GT3,1:35.776,35,20.091
13,159,Silver Cup,"Vargas Manuel Maldonado, Ethan Simioni",Garage 59,McLaren 720S GT3,1:36.049,35,20.416
14,46,Pro Cup,"Valentino Rossi, Frederic Vervisch",Team WRT,Audi R8 LMS evo II GT3,1:35.518,35,21.723
15,21,Pro-Am Cup,"Stefano Costantini, Cedric Sbirrazzuoli",AF Corse,Ferrari 488 GT3,1:35.490,35,22.186
16,52,Pro-Am Cup,"Louis Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,1:35.999,35,23.397
17,54,Pro Cup,"Adrien De Leener, Christian Engelhart",Dinamic Motorsport,Porsche 911 GT3-R (991.II),1:35.824,35,23.835
18,111,Pro-Am Cup,"Patryk Krupinski, Christian Klien",JP Motorsport,McLaren 720S GT3,1:35.478,35,25.754
19,26,Silver Cup,"Gilles Magnus, Nicolas Baert",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:35.738,35,40.087
20,18,Silver Cup,"Danny Kroes, Lucas Mauron",GSM NOVAMARINE,Lamborghini Huracan GT3 Evo,1:37.094,35,44.909
21,86,Silver Cup,"Igor Walilko, Petru Razvan Umbrarescu",AKKODIS ASP,Mercedes-AMG GT3,1:35.479,35,50.142
22,93,Silver Cup,"Chris Froggatt, Eddie Cheever",SKY - Tempesta Racing,Mercedes-AMG GT3,1:36.014,35,1:02.930
23,89,Pro Cup,"Timur Boguslavskiy, Raffaele Marciello",AKKODIS ASP,Mercedes-AMG GT3,1:34.433,35,1:26.022
NC,112,Pro Cup,"Dennis Lind, Vincent Abril",JP Motorsport,McLaren 720S GT3,1:35.951,19,-28:24.808
NC,188,Pro-Am Cup,"Miguel Ramos, Dean Macdonald",Garage 59,McLaren 720S GT3,1:37.988,8,28.001
