Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,51,Pro Cup,"Alessio Rovera, Robert Shwartzman, Nicklas Nielsen",AF Corse - Francorchamps Motors,Ferrari 296 GT3,1:39.103,,
2,87,Pro Cup,"Lorenzo Ferrari, Thomas Drouet, Maximilian Götz",Mercedes-AMG Team Akkodis ASP,Mercedes-AMG GT3 EVO,1:39.428,,0.325
3,998,Pro Cup,"Daniel Harper, Neil Verhagen, Max Hesse",Rowe Racing,BMW M4 GT3,1:39.480,,0.377
4,78,Pro-AM Cup,"Adam Balon, Rob Collard, Dennis Lind",Barwell Motorsport,Lamborghini Huracan GT3 EVO 2,1:39.501,,0.398
5,54,Pro Cup,"Ayhancan Güven, Sven Müller, Christian Engelhart",Dinamic GT,Porsche 911 GT3 R (992),1:39.585,,0.482
6,96,Pro Cup,"Thomas Preining, Laurin Heinrich, Dennis Olsen",Rutronik Racing,Porsche 911 GT3 R (992),1:39.592,,0.489
7,911,Bronze Cup,"Joel Sturm, Alex Malykhin, Klaus Bachler",Pure Rxcing,Porsche 911 GT3 R (992),1:39.597,,0.494
8,3,Bronze Cup,"Florian Scholze, Patrick Assenheimer, Lucas Auer",GetSpeed,Mercedes-AMG GT3 EVO,1:39.640,,0.537
9,159,Pro Cup,"Benjamin Goethe, Nicolai Kjaergaard, Marvin Kirchhöfer",Garage 59,McLaren 720S GT3 EVO,1:39.645,,0.542
10,38,Pro-AM Cup,"Samantha Tan, Isaac Tutumlu Lopez, Lorcan Hanafin",ST Racing with Rinaldi,Ferrari 296 GT3,1:39.705,,0.602
11,19,Gold Cup,"Pierre-Louis Chovet, Michele Beretta, Leonardo Pulcini",Iron Lynx,Lamborghini Huracan GT3 EVO 2,1:39.768,,0.665
12,21,Gold Cup,"Maxime Soulet, Nicolas Baert, Max Hofer",ComToYou Racing,Audi R8 LMS GT3 EVO II,1:39.768,,0.665
13,63,Pro Cup,"Mirko Bortolotti, Andrea Caldarelli, Jordan Pepper",Iron Lynx,Lamborghini Huracan GT3 EVO 2,1:39.824,,0.721
14,90,Silver Cup,"Magnus Gustavsen, Alexey Nesov, Ezequiel Perez Companc",Madpanda Motorsport,Mercedes-AMG GT3 EVO,1:39.836,,0.733
15,57,Gold Cup,"Russell Ward, Indy Dontje, Philip Ellis",Winward Racing,Mercedes-AMG GT3 EVO,1:39.866,,0.763
16,93,Bronze Cup,"Jonathan Hui, Chris Froggatt, Eddie Cheever",SKY - Tempesta Racing,McLaren 720S GT3 EVO,1:39.871,,0.768
17,46,Pro Cup,"Valentino Rossi, Augusto Farfus, Maxime Martin",Team WRT,BMW M4 GT3,1:39.873,,0.770
18,32,Pro Cup,"Dries Vanthoor, Sheldon van der Linde, Charles Weerts",Team WRT,BMW M4 GT3,1:39.885,,0.782
19,777,Pro Cup,"Maro Engel, Luca Stolz, Fabian Schiller",Mercedes-AMG Team AlManar,Mercedes-AMG GT3 EVO,1:39.894,,0.791
20,5,Gold Cup,"Charlie Fagg, Sam de Haan, Dean Macdonald",Optimum Motorsport,McLaren 720S GT3 EVO,1:39.955,,0.852
21,188,Bronze Cup,"Louis Prette, Miguel Ramos, Henrique Chaves",Garage 59,McLaren 720S GT3 EVO,1:39.982,,0.879
22,6,Pro Cup,"Sandy Mitchell, Marco Mapelli, Franck Perera",K-Pax Racing,Lamborghini Huracan GT3 EVO 2,1:40.026,,0.923
23,11,Pro Cup,"Christopher Haase, Gilles Magnus, Frederic Vervisch",ComToYou Racing,Audi R8 LMS GT3 EVO II,1:40.040,,0.937
24,58,Silver Cup,"Gerhard Tweraser, Sam Neary, Fabrizio Crestani",GRT Grasser Racing Team,Lamborghini Huracan GT3 EVO 2,1:40.091,,0.988
25,71,Pro Cup,"Antonio Fuoco, Daniel Serra, Davide Rigon",AF Corse - Francorchamps Motors,Ferrari 296 GT3,1:40.096,,0.993
26,40,Pro Cup,"Ricardo Feller, Mattia Drudi, Dennis Marschall",Tresor Orange 1,Audi R8 LMS GT3 EVO II,1:40.131,,1.028
