Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,88,Pro Cup,"Raffaele Marciello, Timur Boguslavskiy",AKKODIS ASP Team,Mercedes-AMG GT3,1:22.511,,
2,27,Pro Cup,"Gregoire Demoustier, Christopher Mies",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:23.197,,0.686
3,99,Silver Cup,"Alex Aka, Lorenzo Patrese",Tresor Attempto Racing,Audi R8 LMS evo II GT3,1:23.347,,0.836
4,77,Silver Cup,"Jordan Love, Frank Bird",Haupt Racing Team,Mercedes-AMG GT3,1:23.437,,0.926
5,9,Gold Cup,"Aurelien Panis, Alberto di Folco",Boutsen VDS,Audi R8 LMS evo II GT3,1:23.488,,0.977
6,69,Pro Cup,"Albert Costa, Thierry Vermeulen",Emil Frey Racing,Ferrari 296 GT3,1:23.489,,0.978
7,25,Pro Cup,"Erwan Bastard, Patric Niederhauser",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:23.526,,1.015
8,40,Pro Cup,"Mattia Drudi, Ricardo Feller",Tresor Orange 1,Audi R8 LMS evo II GT3,1:23.592,,1.081
9,14,Pro Cup,"Konsta Lappalainen, Giacomo Altoe",Emil Frey Racing,Ferrari 296 GT3,1:23.647,,1.136
10,12,Pro Cup,"Frederic Vervisch, Nicolas Baert",ComToYou Racing,Audi R8 LMS evo II GT3,1:23.680,,1.169
11,11,Pro Cup,"Lucas Legeret, Christopher Haase",ComToYou Racing,Audi R8 LMS evo II GT3,1:23.683,,1.172
12,32,Pro Cup,"Charles Weerts, Dries Vanthoor",Team WRT,BMW M4 GT3,1:23.755,,1.244
13,21,Gold Cup,"Finlay Hutchison, Gilles Magnus",ComToYou Racing,Audi R8 LMS evo II GT3,1:23.838,,1.327
14,54,Pro Cup,"Christian Engelhart, Adrien De Leener",Dinamic GT Huber Racing,Porsche 911 GT3 R (992),1:24.084,,1.573
15,10,Gold Cup,"Adam Eteki, Cesar Gazeau",Boutsen VDS,Audi R8 LMS evo II GT3,1:24.122,,1.611
16,90,Silver Cup,"Jesse Salmenautio, Ezequiel Perez Companc",Madpanda Motorsport,Mercedes-AMG GT3,1:24.153,,1.642
17,60,Pro Cup,"Jordan Pepper, Franck Perera",VSR,Lamborghini Huracan GT3 EVO 2,1:24.174,,1.663
18,46,Pro Cup,"Valentino Rossi, Maxime Martin",Team WRT,BMW M4 GT3,1:24.194,,1.683
19,31,Pro Cup,"Jean-Baptiste Simmenauer, Thomas Neubauer",Team WRT,BMW M4 GT3,1:24.245,,1.734
20,119,Silver Cup,"Baptiste Moulin, Marcus Paverud",VSR,Lamborghini Huracan GT3 EVO 2,1:24.448,,1.937
21,30,Gold Cup,"Calan Williams, Niklas Krütten",Team WRT,BMW M4 GT3,1:24.527,,2.016
22,111,Pro Cup,"Christian Klien, Dean Macdonald",JP Motorsport,McLaren 720S GT3 EVO,1:24.655,,2.144
23,28,Silver Cup,"Leonardo Moncini, Jacopo Guidetti",Nova Race,Honda NSX GT3,1:24.672,,2.161
24,71,Silver Cup,"Sean Hudspeth, Nicola Marinangeli",AF Corse,Ferrari 488 GT3,1:24.816,,2.305
25,68,Silver Cup,"Erwin Zanotti, Diego Di Fabio",Nova Race,Honda NSX GT3,1:24.838,,2.327
26,163,Silver Cup,"Yuki Nemoto, Rolf Ineichen",VSR,Lamborghini Huracan GT3 EVO 2,1:24.910,,2.399
27,159,Pro Cup,"Benjamin Goethe, Nicolai Kjaergaard",Garage 59,McLaren 720S GT3 EVO,1:25.129,,2.618
28,18,Silver Cup,"Nicholas Risitano, Fernando Croce",GSM AB1 GT3 Team,Lamborghini Huracan GT3 Evo,1:28.071,,5.560
29,26,Gold Cup,"Simon Gachet, Paul Evrard",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:28.981,,6.470
