Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,88,Pro Cup,"Raffaele Marciello, Timur Boguslavskiy",AKKODIS ASP Team,Mercedes-AMG GT3,1:23.642,42,
2,40,Pro Cup,"Mattia Drudi, Ricardo Feller",Tresor Orange 1,Audi R8 LMS evo II GT3,1:23.765,42,0.616
3,32,Pro Cup,"Charles Weerts, Dries Vanthoor",Team WRT,BMW M4 GT3,1:23.726,42,3.683
4,11,Pro Cup,"Lucas Legeret, Christopher Haase",ComToYou Racing,Audi R8 LMS evo II GT3,1:23.778,42,27.432
5,14,Pro Cup,"Konsta Lappalainen, Giacomo Altoe",Emil Frey Racing,Ferrari 296 GT3,1:24.066,42,28.251
6,60,Pro Cup,"Jordan Pepper, Franck Perera",VSR,Lamborghini Huracan GT3 EVO 2,1:23.996,42,28.713
7,69,Pro Cup,"Albert Costa, Thierry Vermeulen",Emil Frey Racing,Ferrari 296 GT3,1:23.981,42,30.790
8,12,Pro Cup,"Frederic Vervisch, Nicolas Baert",ComToYou Racing,Audi R8 LMS evo II GT3,1:24.826,42,41.066
9,9,Gold Cup,"Aurelien Panis, Alberto di Folco",Boutsen VDS,Audi R8 LMS evo II GT3,1:24.290,42,41.677
10,99,Silver Cup,"Alex Aka, Lorenzo Patrese",Tresor Attempto Racing,Audi R8 LMS evo II GT3,1:24.459,42,42.392
11,26,Gold Cup,"Simon Gachet, Paul Evrard",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:24.983,42,57.687
12,10,Gold Cup,"Adam Eteki, Cesar Gazeau",Boutsen VDS,Audi R8 LMS evo II GT3,1:25.255,42,58.115
13,31,Pro Cup,"Jean-Baptiste Simmenauer, Thomas Neubauer",Team WRT,BMW M4 GT3,1:24.814,42,58.883
14,46,Pro Cup,"Valentino Rossi, Maxime Martin",Team WRT,BMW M4 GT3,1:24.132,42,59.241
15,30,Gold Cup,"Calan Williams, Niklas Krütten",Team WRT,BMW M4 GT3,1:23.955,42,59.703
16,159,Pro Cup,"Benjamin Goethe, Nicolai Kjaergaard",Garage 59,McLaren 720S GT3 EVO,1:24.188,42,1:00.031
17,21,Gold Cup,"Finlay Hutchison, Gilles Magnus",ComToYou Racing,Audi R8 LMS evo II GT3,1:24.377,42,1:05.251
18,28,Silver Cup,"Leonardo Moncini, Jacopo Guidetti",Nova Race,Honda NSX GT3,1:24.239,42,1:17.990
19,27,Pro Cup,"Gregoire Demoustier, Christopher Mies",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:24.232,42,1:21.102
20,77,Silver Cup,"Jordan Love, Frank Bird",Haupt Racing Team,Mercedes-AMG GT3,1:24.083,42,1:21.167
21,111,Pro Cup,"Christian Klien, Dean Macdonald",JP Motorsport,McLaren 720S GT3 EVO,1:24.546,42,1:22.201
22,163,Silver Cup,"Yuki Nemoto, Rolf Ineichen",VSR,Lamborghini Huracan GT3 EVO 2,1:25.181,42,1:25.444
23,71,Silver Cup,"Sean Hudspeth, Nicola Marinangeli",AF Corse,Ferrari 488 GT3,1:24.942,42,1:25.786
24,119,Silver Cup,"Baptiste Moulin, Marcus Paverud",VSR,Lamborghini Huracan GT3 EVO 2,1:24.789,42,1:31.215
25,90,Silver Cup,"Jesse Salmenautio, Ezequiel Perez Companc",Madpanda Motorsport,Mercedes-AMG GT3,1:24.771,41,3.060
26,68,Silver Cup,"Erwin Zanotti, Diego Di Fabio",Nova Race,Honda NSX GT3,1:24.629,40,5.903
27,18,Silver Cup,"Nicholas Risitano, Fernando Croce",GSM AB1 GT3 Team,Lamborghini Huracan GT3 Evo,1:30.562,37,56.313
28,25,Pro Cup,"Erwan Bastard, Patric Niederhauser",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:24.120,30,-15:11.818
DSQ,54,Pro Cup,"Christian Engelhart, Adrien De Leener",Dinamic GT Huber Racing,Porsche 911 GT3 R (992),1:24.347,,
