Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,46,Pro Cup,"Valentino Rossi, Maxime Martin",Team WRT,BMW M4 GT3,1:33.316,36,
2,11,Pro Cup,"Lucas Legeret, Christopher Haase",ComToYou Racing,Audi R8 LMS GT3 EVO II,1:33.692,36,4.243
3,31,Pro Cup,"Jean-Baptiste Simmenauer, Thomas Neubauer",Team WRT,BMW M4 GT3,1:33.539,36,6.105
4,88,Pro Cup,"Raffaele Marciello, Timur Boguslavskiy",AKKODIS ASP Team,Mercedes-AMG GT3 EVO,1:33.332,36,10.644
5,69,Pro Cup,"Albert Costa, Thierry Vermeulen",Emil Frey Racing,Ferrari 296 GT3,1:33.369,36,11.618
6,14,Pro Cup,"Giacomo Altoe, Konsta Lappalainen",Emil Frey Racing,Ferrari 296 GT3,1:33.239,36,12.470
7,25,Pro Cup,"Erwan Bastard, Patric Niederhauser",Sainteloc Junior Team,Audi R8 LMS GT3 EVO II,1:33.521,36,15.708
8,60,Pro Cup,"Franck Perera, Jordan Pepper",VSR,Lamborghini Huracan GT3 EVO 2,1:33.938,36,16.092
9,32,Pro Cup,"Charles Weerts, Dries Vanthoor",Team WRT,BMW M4 GT3,1:33.591,36,16.789
10,159,Pro Cup,"Nicolai Kjaergaard, Benjamin Goethe",Garage 59,McLaren 720S GT3 EVO,1:33.948,36,23.732
11,30,Gold Cup,"Niklas Krütten, Calan Williams",Team WRT,BMW M4 GT3,1:33.608,36,24.562
12,99,Silver Cup,"Lorenzo Patrese, Alex Aka",Tresor Attempto Racing,Audi R8 LMS GT3 EVO II,1:33.872,36,25.045
13,163,Silver Cup,"Yuki Nemoto, Mattia Michelotto",VSR,Lamborghini Huracan GT3 EVO 2,1:34.262,36,32.352
14,90,Silver Cup,"Ezequiel Perez Companc, Jesse Salmenautio",Madpanda Motorsport,Mercedes-AMG GT3 EVO,1:33.981,36,33.870
15,12,Pro Cup,"Frederic Vervisch, Nicolas Baert",ComToYou Racing,Audi R8 LMS GT3 EVO II,1:33.694,36,33.906
16,77,Silver Cup,"Jordan Love, Frank Bird",Haupt Racing Team,Mercedes-AMG GT3 EVO,1:34.224,36,35.667
17,10,Gold Cup,"Adam Eteki, Cesar Gazeau",Boutsen VDS,Audi R8 LMS GT3 EVO II,1:34.205,36,36.284
18,27,Pro Cup,"Christopher Mies, Gregoire Demoustier",Sainteloc Junior Team,Audi R8 LMS GT3 EVO II,1:33.693,36,36.524
