Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,88,Pro Cup,"Raffaele Marciello, Timur Boguslavskiy, Jules Gounon",AKKODIS ASP Team,Mercedes-AMG GT3,1:46.187,,
2,777,Pro Cup,"Maro Engel, Luca Stolz, Fabian Schiller",Mercedes-AMG Team AlManar,Mercedes-AMG GT3,1:46.262,,0.075
3,40,Pro Cup,"Ricardo Feller, Mattia Drudi, Dennis Marschall",Tresor Orange 1,Audi R8 LMS evo II GT3,1:46.585,,0.398
4,57,Gold Cup,"Russell Ward, Indy Dontje, Philip Ellis",Winward Racing,Mercedes-AMG GT3,1:46.633,,0.446
5,11,Pro Cup,"Christopher Haase, Gilles Magnus, Frederic Vervisch",ComToYou Racing,Audi R8 LMS evo II GT3,1:46.676,,0.489
6,25,Pro Cup,"Christopher Mies, Patric Niederhauser, Simon Gachet",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:46.682,,0.495
7,66,Bronze Cup,"Andrey Mukovoz, Kikko Galbiati, Dylan Pereira",Tresor Attempto Racing,Audi R8 LMS evo II GT3,1:46.709,,0.522
8,99,Silver Cup,"Lorenzo Patrese, Pietro Delli Guanti, Alex Aka",Tresor Attempto Racing,Audi R8 LMS evo II GT3,1:46.803,,0.616
9,55,Bronze Cup,"Philipp Sager, Marius Nakken, Benjamin Barker",Dinamic GT Huber Racing,Porsche 911 GT3 R (992),1:46.822,,0.635
10,9,Gold Cup,"Adam Eteki, Alberto di Folco, Aurelien Panis",Boutsen VDS,Audi R8 LMS evo II GT3,1:46.900,,0.713
11,888,Bronze Cup,"Arthur Rougier, Erwin Creed, Igor Walilko",CSA Racing,Audi R8 LMS evo II GT3,1:46.958,,0.771
12,87,Pro Cup,"Lorenzo Ferrari, Thomas Drouet, Maxi Götz",Mercedes-AMG Team Akkodis ASP,Mercedes-AMG GT3,1:47.008,,0.821
13,911,Bronze Cup,"Klaus Bachler, Alex Malykhin, Joel Sturm",Pure Rxcing,Porsche 911 GT3 R (992),1:47.105,,0.918
14,54,Pro Cup,"Ayhancan Güven, Sven Müller, Christian Engelhart",Dinamic GT Huber Racing,Porsche 911 GT3 R (992),1:47.111,,0.924
15,188,Bronze Cup,"Henrique Chaves, Miguel Ramos, Louis Prette",Garage 59,McLaren 720S GT3 EVO,1:47.114,,0.927
16,157,Gold Cup,"Miklas Born, David Schumacher, Marius Zug",Winward Racing,Mercedes-AMG GT3,1:47.221,,1.034
17,21,Gold Cup,"Max Hofer, Nicolas Baert, Maxime Soulet",ComToYou Racing,Audi R8 LMS evo II GT3,1:47.247,,1.060
18,91,Bronze Cup,"Ralf Bohn, Alfred Renauer, Robert Renauer",Herberth Motorsport,Porsche 911 GT3 R (992),1:47.253,,1.066
19,32,Pro Cup,"Dries Vanthoor, Sheldon van der Linde, Charles Weerts",Team WRT,BMW M4 GT3,1:47.255,,1.068
20,98,Pro Cup,"Philipp Eng, Marco Wittmann, Nick Yelloly",Rowe Racing,BMW M4 GT3,1:47.274,,1.087
21,58,Silver Cup,"Sam Neary, Ricky Capo, Fabrizio Crestani",GRT Grasser Racing Team,Lamborghini Huracan GT3 EVO 2,1:47.324,,1.137
22,63,Pro Cup,"Mirko Bortolotti, Andrea Caldarelli, Jordan Pepper",Iron Lynx,Lamborghini Huracan GT3 EVO 2,1:47.410,,1.223
23,24,Pro-AM Cup,"Niki Leutwiler, Ivan Jacoma, Alex Fontana",Car Collection Motorsport,Porsche 911 GT3 R (992),1:47.443,,1.256
24,998,Pro Cup,"Daniel Harper, Neil Verhagen, Max Hesse",Rowe Racing,BMW M4 GT3,1:47.486,,1.299
25,93,Bronze Cup,"Eddie Cheever, Jonathan Hui, Chris Froggatt",SKY - Tempesta Racing,McLaren 720S GT3 EVO,1:47.508,,1.321
26,90,Silver Cup,"Magnus Gustavsen, Alexey Nesov, Ezequiel Perez Companc",Madpanda Motorsport,Mercedes-AMG GT3,1:47.511,,1.324
27,46,Pro Cup,"Augusto Farfus, Maxime Martin, Valentino Rossi",Team WRT,BMW M4 GT3,1:47.576,,1.389
28,12,Silver Cup,"Loris Hezemans, Sam Dejonghe, Finlay Hutchison",ComToYou Racing,Audi R8 LMS evo II GT3,1:47.579,,1.392
