Pos,Car #,Class,Drivers,Team,Car,Avg Time,Time 1,Time 2,Time 3,Time 4
1,98,Pro Cup,"Philipp Eng, Marco Wittmann, Nick Yelloly",Rowe Racing,BMW M4 GT3,1:46.274,1:46.592,1:45.957,,
2,46,Pro Cup,"Augusto Farfus, Maxime Martin, Valentino Rossi",Team WRT,BMW M4 GT3,1:46.290,1:46.396,1:46.185,,
3,32,Pro Cup,"Dries Vanthoor, Sheldon van der Linde, Charles Weerts",Team WRT,BMW M4 GT3,1:46.316,1:46.676,1:45.957,,
4,998,Pro Cup,"Daniel Harper, Neil Verhagen, Max Hesse",Rowe Racing,BMW M4 GT3,1:46.349,1:46.590,1:46.108,,
5,25,Pro Cup,"Christopher Mies, Patric Niederhauser, Simon Gachet",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:46.409,1:46.792,1:46.026,,
6,63,Pro Cup,"Mirko Bortolotti, Andrea Caldarelli, Jordan Pepper",Iron Lynx,Lamborghini Huracan GT3 EVO 2,1:46.565,1:46.670,1:46.460,,
7,188,Bronze Cup,"Henrique Chaves, Miguel Ramos, Louis Prette",Garage 59,McLaren 720S GT3 EVO,1:46.659,1:46.360,1:46.958,,
8,6,Pro Cup,"Sandy Mitchell, Marco Mapelli, Franck Perera",K-Pax Racing,Lamborghini Huracan GT3 EVO 2,1:46.691,1:46.891,1:46.492,,
9,777,Pro Cup,"Maro Engel, Luca Stolz, Fabian Schiller",Mercedes-AMG Team AlManar,Mercedes-AMG GT3,1:46.716,1:47.027,1:46.406,,
10,54,Pro Cup,"Ayhancan Güven, Sven Müller, Christian Engelhart",Dinamic GT Huber Racing,Porsche 911 GT3 R (992),1:46.773,1:46.967,1:46.580,,
11,5,Gold Cup,"Charlie Fagg, Sam de Haan, Dean Macdonald",Optimum Motorsport,McLaren 720S GT3 EVO,1:46.797,1:46.807,1:46.788,,
12,11,Pro Cup,"Christopher Haase, Gilles Magnus, Frederic Vervisch",ComToYou Racing,Audi R8 LMS evo II GT3,1:46.809,1:47.083,1:46.535,,
13,99,Silver Cup,"Lorenzo Patrese, Pietro Delli Guanti, Alex Aka",Tresor Attempto Racing,Audi R8 LMS evo II GT3,1:46.879,1:46.862,1:46.897,,
14,31,Bronze Cup,"Adam Carroll, Lewis Proctor, Timothy Whale",Team WRT,BMW M4 GT3,1:46.897,1:47.446,1:46.348,,
15,30,Gold Cup,"Jean-Baptiste Simmenauer, Calan Williams, Niklas Krütten",Team WRT,BMW M4 GT3,1:46.903,1:47.414,1:46.393,,
16,88,Pro Cup,"Raffaele Marciello, Timur Boguslavskiy, Jules Gounon",AKKODIS ASP Team,Mercedes-AMG GT3,1:46.905,1:46.808,1:47.002,,
17,9,Gold Cup,"Adam Eteki, Alberto di Folco, Aurelien Panis",Boutsen VDS,Audi R8 LMS evo II GT3,1:46.906,1:47.053,1:46.759,,
18,71,Pro Cup,"Alessandro Pier Guidi, Davide Rigon, Antonio Fuoco",AF Corse - Francorchamps Motors,Ferrari 296 GT3,1:46.941,1:47.200,1:46.683,,
19,19,Gold Cup,"Leonardo Pulcini, Michele Beretta, Rolf Ineichen",Iron Lynx,Lamborghini Huracan GT3 EVO 2,1:46.952,1:46.906,1:46.999,,
20,96,Pro Cup,"Thomas Preining, Laurin Heinrich, Dennis Olsen",Rutronik Racing,Porsche 911 GT3 R (992),1:46.958,1:47.242,1:46.674,,
21,40,Pro Cup,"Ricardo Feller, Mattia Drudi, Dennis Marschall",Tresor Orange 1,Audi R8 LMS evo II GT3,1:46.964,1:47.032,1:46.897,,
22,21,Gold Cup,"Max Hofer, Nicolas Baert, Maxime Soulet",ComToYou Racing,Audi R8 LMS evo II GT3,1:47.036,1:47.155,1:46.918,,
23,51,Pro Cup,"Alessio Rovera, Robert Shwartzman, Nicklas Nielsen",AF Corse - Francorchamps Motors,Ferrari 296 GT3,1:47.041,1:46.928,1:47.155,,
24,93,Bronze Cup,"Eddie Cheever, Jonathan Hui, Chris Froggatt",SKY - Tempesta Racing,McLaren 720S GT3 EVO,1:47.075,1:46.852,1:47.299,,
25,58,Silver Cup,"Sam Neary, Ricky Capo, Fabrizio Crestani",GRT Grasser Racing Team,Lamborghini Huracan GT3 EVO 2,1:47.126,1:47.301,1:46.952,,
26,911,Bronze Cup,"Klaus Bachler, Alex Malykhin, Joel Sturm",Pure Rxcing,Porsche 911 GT3 R (992),1:47.188,1:47.169,1:47.208,,
27,87,Pro Cup,"Lorenzo Ferrari, Thomas Drouet, Maxi Götz",Mercedes-AMG Team Akkodis ASP,Mercedes-AMG GT3,1:47.197,1:47.473,1:46.921,,
28,85,Silver Cup,"Kay van Berlo, Benjamin Hites, Clemens Schmid",GRT Grasser Racing Team,Lamborghini Huracan GT3 EVO 2,1:47.207,1:47.673,1:46.741,,
29,157,Gold Cup,"Miklas Born, David Schumacher, Marius Zug",Winward Racing,Mercedes-AMG GT3,1:47.257,1:47.342,1:47.172,,
30,79,Bronze Cup,"Arjun Maini, Sebastien Baud, Hubert Haupt",Haupt Racing Team,Mercedes-AMG GT3,1:47.259,1:47.446,1:47.073,,
31,10,Silver Cup,"Cesar Gazeau, Roee Meyuhas, Andrea Cola",Boutsen VDS,Audi R8 LMS evo II GT3,1:47.274,1:47.505,1:47.044,,
32,83,Bronze Cup,"Rahel Frey, Sarah Bovy, Michelle Gatting",Iron Dames,Lamborghini Huracan GT3 EVO 2,1:47.303,1:47.151,1:47.456,,
33,57,Gold Cup,"Russell Ward, Indy Dontje, Philip Ellis",Winward Racing,Mercedes-AMG GT3,1:47.346,1:47.688,1:47.005,,
34,91,Bronze Cup,"Ralf Bohn, Alfred Renauer, Robert Renauer",Herberth Motorsport,Porsche 911 GT3 R (992),1:47.427,1:48.183,1:46.671,,
35,52,Bronze Cup,"Louis Machiels, Jef Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,1:47.517,1:47.436,1:47.599,,
36,888,Bronze Cup,"Arthur Rougier, Erwin Creed, Igor Walilko",CSA Racing,Audi R8 LMS evo II GT3,1:47.527,1:46.783,1:48.272,,
37,56,Silver Cup,"Tanard Sathienthirakul, Dante Rappange, Daniele Di Amato",Dinamic GT Huber Racing,Porsche 911 GT3 R (992),1:47.538,1:47.245,1:47.831,,
38,15,Pro-AM Cup,"Stefano Comandini, Marco Cassara, Francesco Guerra",BMW Italia Ceccato Racing,BMW M4 GT3,1:47.621,1:47.311,1:47.931,,
39,90,Silver Cup,"Magnus Gustavsen, Alexey Nesov, Ezequiel Perez Companc",Madpanda Motorsport,Mercedes-AMG GT3,1:47.748,1:47.968,1:47.529,,
40,12,Silver Cup,"Loris Hezemans, Sam Dejonghe, Finlay Hutchison",ComToYou Racing,Audi R8 LMS evo II GT3,1:47.751,1:47.757,1:47.746,,
41,55,Bronze Cup,"Philipp Sager, Marius Nakken, Benjamin Barker",Dinamic GT Huber Racing,Porsche 911 GT3 R (992),1:47.894,1:48.201,1:47.588,,
42,24,Pro-AM Cup,"Niki Leutwiler, Ivan Jacoma, Alex Fontana",Car Collection Motorsport,Porsche 911 GT3 R (992),1:47.905,1:48.218,1:47.592,,
43,26,Silver Cup,"Erwan Bastard, Gregoire Demoustier, Paul Evrard",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:47.946,1:47.580,1:48.313,,
44,159,Pro Cup,"Nicolai Kjaergaard, Benjamin Goethe, Marvin Kirchhöfer",Garage 59,McLaren 720S GT3 EVO,1:47.955,1:47.845,1:48.066,,
45,35,Bronze Cup,"James Kell, Anders Buchardt, Thomas Neubauer",Walkenhorst Motorsport,BMW M4 GT3,1:47.976,1:47.323,1:48.630,,
46,81,Bronze Cup,"Alain Valente, Reema Juffali, Ralf Aron",Theeba Motorsport,Mercedes-AMG GT3,1:47.981,1:48.013,1:47.950,,
47,78,Pro-AM Cup,"Adam Balon, Rob Collard, Dennis Lind",Barwell Motorsport,Lamborghini Huracan GT3 EVO 2,1:48.011,1:48.817,1:47.206,,
48,44,Bronze Cup,"Steven Palette, Clement Mateu, Hugo Chevalier",CLRT,Porsche 911 GT3 R (992),1:48.035,1:47.239,1:48.832,,
49,33,Silver Cup,"Jeffrey Kingsley, Jacob Riegel, Romain Leroux",Bullitt Racing,Aston Martin Vantage GT3,1:48.294,1:48.170,1:48.419,,
50,38,Pro-AM Cup,"Isaac Tutumlu Lopez, Samantha Tan, Jon Miller",ST Racing with Rinaldi,Ferrari 488 GT3,1:48.380,1:48.112,1:48.649,,
51,3,Bronze Cup,"Florian Scholze, Patrick Assenheimer, Alex Peroni",GetSpeed,Mercedes-AMG GT3,1:48.396,1:48.813,1:47.980,,
52,66,Bronze Cup,"Andrey Mukovoz, Kikko Galbiati, Dylan Pereira",Tresor Attempto Racing,Audi R8 LMS evo II GT3,1:48.431,1:49.246,1:47.616,,
53,8,Bronze Cup,"Leonardo Gorini, Antonin Borga, Nicolas Jamin",AGS Events,Lamborghini Huracan GT3 EVO 2,1:48.726,1:49.544,1:47.909,,
54,2,Pro-AM Cup,"Aron Walker, Lance Bergstein, Andrzej Lewandowski",GetSpeed,Mercedes-AMG GT3,1:48.885,1:48.318,1:49.452,,
55,62,Bronze Cup,"Derek Pierce, Kiern Jewiss, Jaxon Evans",Team Parker Racing,Porsche 911 GT3 R (992),1:48.931,1:50.009,1:47.853,,
