Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,188,Bronze Cup,"Henrique Chaves, Miguel Ramos, Louis Prette",Garage 59,McLaren 720S GT3 EVO,1:46.360,,
2,46,Pro Cup,"Augusto Farfus, Maxime Martin, Valentino Rossi",Team WRT,BMW M4 GT3,1:46.396,,0.036
3,998,Pro Cup,"Daniel Harper, Neil Verhagen, Max Hesse",Rowe Racing,BMW M4 GT3,1:46.590,,0.230
4,98,Pro Cup,"Philipp Eng, Marco Wittmann, Nick Yelloly",Rowe Racing,BMW M4 GT3,1:46.592,,0.232
5,63,Pro Cup,"Mirko Bortolotti, Andrea Caldarelli, Jordan Pepper",Iron Lynx,Lamborghini Huracan GT3 EVO 2,1:46.670,,0.310
6,32,Pro Cup,"Dries Vanthoor, Sheldon van der Linde, Charles Weerts",Team WRT,BMW M4 GT3,1:46.676,,0.316
7,888,Bronze Cup,"Arthur Rougier, Erwin Creed, Igor Walilko",CSA Racing,Audi R8 LMS evo II GT3,1:46.783,,0.423
8,25,Pro Cup,"Christopher Mies, Patric Niederhauser, Simon Gachet",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:46.792,,0.432
9,5,Gold Cup,"Charlie Fagg, Sam de Haan, Dean Macdonald",Optimum Motorsport,McLaren 720S GT3 EVO,1:46.807,,0.447
10,88,Pro Cup,"Raffaele Marciello, Timur Boguslavskiy, Jules Gounon",AKKODIS ASP Team,Mercedes-AMG GT3,1:46.808,,0.448
11,93,Bronze Cup,"Eddie Cheever, Jonathan Hui, Chris Froggatt",SKY - Tempesta Racing,McLaren 720S GT3 EVO,1:46.852,,0.492
12,99,Silver Cup,"Lorenzo Patrese, Pietro Delli Guanti, Alex Aka",Tresor Attempto Racing,Audi R8 LMS evo II GT3,1:46.862,,0.502
13,6,Pro Cup,"Sandy Mitchell, Marco Mapelli, Franck Perera",K-Pax Racing,Lamborghini Huracan GT3 EVO 2,1:46.891,,0.531
14,19,Gold Cup,"Leonardo Pulcini, Michele Beretta, Rolf Ineichen",Iron Lynx,Lamborghini Huracan GT3 EVO 2,1:46.906,,0.546
15,51,Pro Cup,"Alessio Rovera, Robert Shwartzman, Nicklas Nielsen",AF Corse - Francorchamps Motors,Ferrari 296 GT3,1:46.928,,0.568
16,54,Pro Cup,"Ayhancan Güven, Sven Müller, Christian Engelhart",Dinamic GT Huber Racing,Porsche 911 GT3 R (992),1:46.967,,0.607
17,777,Pro Cup,"Maro Engel, Luca Stolz, Fabian Schiller",Mercedes-AMG Team AlManar,Mercedes-AMG GT3,1:47.027,,0.667
18,40,Pro Cup,"Ricardo Feller, Mattia Drudi, Dennis Marschall",Tresor Orange 1,Audi R8 LMS evo II GT3,1:47.032,,0.672
19,9,Gold Cup,"Adam Eteki, Alberto di Folco, Aurelien Panis",Boutsen VDS,Audi R8 LMS evo II GT3,1:47.053,,0.693
20,11,Pro Cup,"Christopher Haase, Gilles Magnus, Frederic Vervisch",ComToYou Racing,Audi R8 LMS evo II GT3,1:47.083,,0.723
21,83,Bronze Cup,"Rahel Frey, Sarah Bovy, Michelle Gatting",Iron Dames,Lamborghini Huracan GT3 EVO 2,1:47.151,,0.791
22,21,Gold Cup,"Max Hofer, Nicolas Baert, Maxime Soulet",ComToYou Racing,Audi R8 LMS evo II GT3,1:47.155,,0.795
23,911,Bronze Cup,"Klaus Bachler, Alex Malykhin, Joel Sturm",Pure Rxcing,Porsche 911 GT3 R (992),1:47.169,,0.809
24,71,Pro Cup,"Alessandro Pier Guidi, Davide Rigon, Antonio Fuoco",AF Corse - Francorchamps Motors,Ferrari 296 GT3,1:47.200,,0.840
25,44,Bronze Cup,"Steven Palette, Clement Mateu, Hugo Chevalier",CLRT,Porsche 911 GT3 R (992),1:47.239,,0.879
26,96,Pro Cup,"Thomas Preining, Laurin Heinrich, Dennis Olsen",Rutronik Racing,Porsche 911 GT3 R (992),1:47.242,,0.882
27,56,Silver Cup,"Tanard Sathienthirakul, Dante Rappange, Daniele Di Amato",Dinamic GT Huber Racing,Porsche 911 GT3 R (992),1:47.245,,0.885
28,58,Silver Cup,"Sam Neary, Ricky Capo, Fabrizio Crestani",GRT Grasser Racing Team,Lamborghini Huracan GT3 EVO 2,1:47.301,,0.941
29,15,Pro-AM Cup,"Stefano Comandini, Marco Cassara, Francesco Guerra",BMW Italia Ceccato Racing,BMW M4 GT3,1:47.311,,0.951
30,35,Bronze Cup,"James Kell, Anders Buchardt, Thomas Neubauer",Walkenhorst Motorsport,BMW M4 GT3,1:47.323,,0.963
31,157,Gold Cup,"Miklas Born, David Schumacher, Marius Zug",Winward Racing,Mercedes-AMG GT3,1:47.342,,0.982
32,30,Gold Cup,"Jean-Baptiste Simmenauer, Calan Williams, Niklas Krütten",Team WRT,BMW M4 GT3,1:47.414,,1.054
33,52,Bronze Cup,"Louis Machiels, Jef Machiels, Andrea Bertolini",AF Corse,Ferrari 488 GT3,1:47.436,,1.076
34,31,Bronze Cup,"Adam Carroll, Lewis Proctor, Timothy Whale",Team WRT,BMW M4 GT3,1:47.446,,1.086
35,79,Bronze Cup,"Arjun Maini, Sebastien Baud, Hubert Haupt",Haupt Racing Team,Mercedes-AMG GT3,1:47.446,,1.086
36,87,Pro Cup,"Lorenzo Ferrari, Thomas Drouet, Maxi Götz",Mercedes-AMG Team Akkodis ASP,Mercedes-AMG GT3,1:47.473,,1.113
37,10,Silver Cup,"Cesar Gazeau, Roee Meyuhas, Andrea Cola",Boutsen VDS,Audi R8 LMS evo II GT3,1:47.505,,1.145
38,26,Silver Cup,"Erwan Bastard, Gregoire Demoustier, Paul Evrard",Sainteloc Junior Team,Audi R8 LMS evo II GT3,1:47.580,,1.220
39,85,Silver Cup,"Kay van Berlo, Benjamin Hites, Clemens Schmid",GRT Grasser Racing Team,Lamborghini Huracan GT3 EVO 2,1:47.673,,1.313
40,57,Gold Cup,"Russell Ward, Indy Dontje, Philip Ellis",Winward Racing,Mercedes-AMG GT3,1:47.688,,1.328
41,12,Silver Cup,"Loris Hezemans, Sam Dejonghe, Finlay Hutchison",ComToYou Racing,Audi R8 LMS evo II GT3,1:47.757,,1.397
42,159,Pro Cup,"Nicolai Kjaergaard, Benjamin Goethe, Marvin Kirchhöfer",Garage 59,McLaren 720S GT3 EVO,1:47.845,,1.485
43,90,Silver Cup,"Magnus Gustavsen, Alexey Nesov, Ezequiel Perez Companc",Madpanda Motorsport,Mercedes-AMG GT3,1:47.968,,1.608
44,81,Bronze Cup,"Alain Valente, Reema Juffali, Ralf Aron",Theeba Motorsport,Mercedes-AMG GT3,1:48.013,,1.653
45,38,Pro-AM Cup,"Isaac Tutumlu Lopez, Samantha Tan, Jon Miller",ST Racing with Rinaldi,Ferrari 488 GT3,1:48.112,,1.752
