Pos,Car #,Class,Drivers,Team,Car,Avg Time,Time 1,Time 2,Time 3,Time 4
1,88,Pro Cup,"Raffaele Marciello, Timur Boguslavskiy, Jules Gounon",AKKODIS ASP Team,Mercedes-AMG GT3 EVO,2:09.233,2:10.848,2:10.101,2:06.750,
2,63,Pro Cup,"Mirko Bortolotti, Andrea Caldarelli, Jordan Pepper",Iron Lynx,Lamborghini Huracan GT3 EVO 2,2:09.363,2:11.105,2:10.667,2:06.319,
3,777,Pro Cup,"Maro Engel, Luca Stolz, Fabian Schiller",M-AMG Team AlManar,Mercedes-AMG GT3 EVO,2:09.702,2:12.699,2:10.230,2:06.179,
4,87,Pro Cup,"Lorenzo Ferrari, Thomas Drouet, Maximilian Götz",Mercedes-AMG Team Akkodis ASP,Mercedes-AMG GT3 EVO,2:09.950,2:12.971,2:10.106,2:06.773,
5,40,Pro Cup,"Ricardo Feller, Mattia Drudi, Dennis Marschall",Tresor Orange 1,Audi R8 LMS GT3 EVO II,2:09.983,2:13.830,2:09.543,2:06.578,
6,6,Pro Cup,"Sandy Mitchell, Marco Mapelli, Franck Perera",K-Pax Racing,Lamborghini Huracan GT3 EVO 2,2:10.059,2:12.166,2:11.012,2:06.999,
7,157,Gold Cup,"Miklas Born, David Schumacher, Marius Zug",Winward Racing,Mercedes-AMG GT3 EVO,2:10.065,2:13.566,2:10.420,2:06.211,
8,25,Pro Cup,"Christopher Mies, Patric Niederhauser, Simon Gachet",Sainteloc Junior Team,Audi R8 LMS GT3 EVO II,2:10.123,2:13.666,2:09.369,2:07.336,
9,11,Pro Cup,"Christopher Haase, Kobe Pauwels, Frederic Vervisch",ComToYou Racing,Audi R8 LMS GT3 EVO II,2:10.132,2:12.272,2:11.348,2:06.776,
10,98,Pro Cup,"Philipp Eng, Marco Wittmann, Nick Yelloly",Rowe Racing,BMW M4 GT3,2:10.156,2:12.626,2:10.798,2:07.044,
11,96,Pro Cup,"Thomas Preining, Laurin Heinrich, Dennis Olsen",Rutronik Racing,Porsche 911 GT3 R (992),2:10.240,2:12.699,2:10.330,2:07.691,
