Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,26,Gold Cup,"Paul Evrard, Simon Gachet",Sainteloc Junior Team,Audi R8 LMS GT3 EVO II,1:42.355,,
2,69,Pro Cup,"Thierry Vermeulen, Albert Costa",Emil Frey Racing,Ferrari 296 GT3,1:42.585,,0.230
3,46,Pro Cup,"Valentino Rossi, Maxime Martin",Team WRT,BMW M4 GT3,1:42.678,,0.323
4,99,Silver Cup,"Alex Aka, Lorenzo Patrese",Tresor Attempto Racing,Audi R8 LMS GT3 EVO II,1:42.801,,0.446
5,119,Silver Cup,"Baptiste Moulin, Marcus Paverud",VSR,Lamborghini Huracan GT3 EVO 2,1:42.859,,0.504
6,163,Silver Cup,"Yuki Nemoto, Maximilian Paul",VSR,Lamborghini Huracan GT3 EVO 2,1:42.860,,0.505
7,77,Silver Cup,"Jordan Love, Alain Valente",Haupt Racing Team,Mercedes-AMG GT3 EVO,1:42.916,,0.561
8,9,Gold Cup,"Alberto di Folco, Aurelien Panis",Boutsen VDS,Audi R8 LMS GT3 EVO II,1:42.946,,0.591
9,25,Pro Cup,"Erwan Bastard, Patric Niederhauser",Sainteloc Junior Team,Audi R8 LMS GT3 EVO II,1:42.955,,0.600
10,40,Pro Cup,"Ricardo Feller, Mattia Drudi",Tresor Orange 1,Audi R8 LMS GT3 EVO II,1:42.989,,0.634
11,11,Pro Cup,"Lucas Legeret, Christopher Haase",ComToYou Racing,Audi R8 LMS GT3 EVO II,1:42.993,,0.638
12,60,Pro Cup,"Andrea Caldarelli, Marco Mapelli",VSR,Lamborghini Huracan GT3 EVO 2,1:43.107,,0.752
13,32,Pro Cup,"Charles Weerts, Dries Vanthoor",Team WRT,BMW M4 GT3,1:43.110,,0.755
14,30,Gold Cup,"Niklas Krütten, Calan Williams",Team WRT,BMW M4 GT3,1:43.193,,0.838
15,159,Pro Cup,"Nicolai Kjaergaard, Benjamin Goethe",Garage 59,McLaren 720S GT3 EVO,1:43.430,,1.075
16,14,Pro Cup,"Konsta Lappalainen, Giacomo Altoe",Emil Frey Racing,Ferrari 296 GT3,1:43.493,,1.138
17,54,Pro Cup,"Adrien De Leener, Christian Engelhart",Dinamic GT,Porsche 911 GT3 R (992),1:43.515,,1.160
18,88,Pro Cup,"Raffaele Marciello, Timur Boguslavskiy",AKKODIS ASP Team,Mercedes-AMG GT3 EVO,1:43.552,,1.197
19,111,Pro Cup,"Christian Klien, Dean Macdonald",JP Motorsport,McLaren 720S GT3 EVO,1:43.596,,1.241
20,21,Gold Cup,"Gilles Magnus, Finlay Hutchison",ComToYou Racing,Audi R8 LMS GT3 EVO II,1:43.638,,1.283
21,18,Silver Cup,"James Kell, Jarrod Waberski",GSM AB1 GT3 Team,Lamborghini Huracan GT3 Evo,1:43.719,,1.364
22,12,Pro Cup,"Frederic Vervisch, Nicolas Baert",ComToYou Racing,Audi R8 LMS GT3 EVO II,1:43.765,,1.410
23,68,Silver Cup,"Erwin Zanotti, Alex Frassineti",Nova Race,Honda NSX GT3 EVO 2,1:43.832,,1.477
24,27,Pro Cup,"Christopher Mies, Gregoire Demoustier",Sainteloc Junior Team,Audi R8 LMS GT3 EVO II,1:43.856,,1.501
25,90,Silver Cup,"Jesse Salmenautio, Ezequiel Perez Companc",Madpanda Motorsport,Mercedes-AMG GT3 EVO,1:43.881,,1.526
26,79,Bronze Cup,"Sebastien Baud, Hubert Haupt",Haupt Racing Team,Mercedes-AMG GT3 EVO,1:43.884,,1.529
27,911,Bronze Cup,"Ayhancan Güven, Alex Malykhin",Pure Rxcing,Porsche 911 GT3 R (992),1:43.911,,1.556
28,28,Silver Cup,"Jacopo Guidetti, Leonardo Moncini",Nova Race,Honda NSX GT3 EVO 2,1:44.099,,1.744
29,188,Bronze Cup,"Henrique Chaves, Miguel Ramos",Garage 59,McLaren 720S GT3 EVO,1:44.204,,1.849
30,91,Bronze Cup,"Robert Renauer, Ralf Bohn",Herberth Motorsport,Porsche 911 GT3 R (992),1:44.287,,1.932
31,52,Bronze Cup,"Jef Machiels, Louis Machiels",AF Corse,Ferrari 296 GT3,1:44.313,,1.958
32,66,Bronze Cup,"Dennis Marschall, Andrey Mukovoz",Tresor Attempto Racing,Audi R8 LMS GT3 EVO II,1:44.587,,2.232
33,44,Bronze Cup,"Steven Palette, Stephane Denoual",CLRT,Porsche 911 GT3 R (992),1:44.696,,2.341
34,31,Pro Cup,"Thomas Neubauer, Jean-Baptiste Simmenauer",Team WRT,BMW M4 GT3,1:44.864,,2.509
35,87,Bronze Cup,"Jim Pla, Eric Debard",AKKODIS ASP Team,Mercedes-AMG GT3 EVO,1:45.079,,2.724
36,81,Bronze Cup,"Fabian Schiller, Reema Juffali",Theeba Motorsport,Mercedes-AMG GT3 EVO,1:45.217,,2.862
37,71,Silver Cup,"Sean Hudspeth, Nicola Marinangeli",AF Corse,Ferrari 296 GT3,1:45.725,,3.370
38,55,Bronze Cup,"Christopher Zöchling, Philipp Sager",Dinamic GT,Porsche 911 GT3 R (992),1:46.033,,3.678
DNS,10,Gold Cup,"Cesar Gazeau, Adam Eteki",Boutsen VDS,Audi R8 LMS GT3 EVO II,,,
