Pos,Car #,Class,Drivers,Team,Car,Time,Laps,Gap
1,40,Pro Cup,"Ricardo Feller, Mattia Drudi",Tresor Orange 1,Audi R8 LMS GT3 EVO II,1:35.626,29,
2,32,Pro Cup,"Dries Vanthoor, Charles Weerts",Team WRT,BMW M4 GT3,1:35.950,29,8.563
3,30,Gold Cup,"Niklas Krütten, Calan Williams",Team WRT,BMW M4 GT3,1:35.456,29,10.424
4,60,Pro Cup,"Andrea Caldarelli, Marco Mapelli",VSR,Lamborghini Huracan GT3 EVO 2,1:36.727,29,13.696
5,14,Pro Cup,"Konsta Lappalainen, Giacomo Altoe",Emil Frey Racing,Ferrari 296 GT3,1:35.654,29,16.693
6,77,Silver Cup,"Jordan Love, Frank Bird",Haupt Racing Team,Mercedes-AMG GT3 EVO,1:35.423,29,17.897
7,46,Pro Cup,"Valentino Rossi, Maxime Martin",Team WRT,BMW M4 GT3,1:34.630,29,18.236
8,69,Pro Cup,"Albert Costa, Thierry Vermeulen",Emil Frey Racing,Ferrari 296 GT3,1:35.536,29,20.611
9,159,Pro Cup,"Nicolai Kjaergaard, Benjamin Goethe",Garage 59,McLaren 720S GT3 EVO,1:35.426,29,24.242
10,44,Pro Cup,"Laurin Heinrich, Ayhancan Güven",CLRT,Porsche 911 GT3 R (992),1:35.614,29,25.142
11,21,Gold Cup,"Gilles Magnus, Finlay Hutchison",ComToYou Racing,Audi R8 LMS GT3 EVO II,1:36.971,29,26.013
12,11,Pro Cup,"Lucas Legeret, Christopher Haase",ComToYou Racing,Audi R8 LMS GT3 EVO II,1:36.508,29,27.646
13,31,Pro Cup,"Thomas Neubauer, Jean-Baptiste Simmenauer",Team WRT,BMW M4 GT3,1:36.046,29,32.808
14,90,Silver Cup,"Jesse Salmenautio, Ezequiel Perez Companc",Madpanda Motorsport,Mercedes-AMG GT3 EVO,1:36.752,29,34.324
15,26,Gold Cup,"Simon Gachet, Paul Evrard",Sainteloc Junior Team,Audi R8 LMS GT3 EVO II,1:36.312,29,35.116
16,54,Pro Cup,"Christian Engelhart, Adrien De Leener",Dinamic GT,Porsche 911 GT3 R (992),1:38.304,29,37.141
17,9,Gold Cup,"Aurelien Panis, Alberto di Folco",Boutsen VDS,Audi R8 LMS GT3 EVO II,1:36.773,29,39.603
18,111,Pro Cup,"Christian Klien, Dean Macdonald",JP Motorsport,McLaren 720S GT3 EVO,1:37.013,29,43.297
19,71,Silver Cup,"Nicola Marinangeli, Sean Hudspeth",AF Corse,Ferrari 296 GT3,1:37.064,29,43.688
20,163,Silver Cup,"Marcus Paverud, Maximilian Paul",VSR,Lamborghini Huracan GT3 EVO 2,1:37.749,29,43.851
21,112,Gold Cup,"Norbert Siedler, Patryk Krupinski",JP Motorsport,McLaren 720S GT3 EVO,1:38.461,29,46.021
22,27,Pro Cup,"Gregoire Demoustier, Christopher Mies",Sainteloc Junior Team,Audi R8 LMS GT3 EVO II,1:36.751,29,46.198
23,28,Silver Cup,"Jacopo Guidetti, Leonardo Moncini",Nova Race,Honda NSX GT3 EVO 2,1:37.139,29,46.671
24,18,Silver Cup,"Paul Meijer, Harley Haughton",GSM AB1 GT3 Team,Lamborghini Huracan GT3 Evo,1:38.842,29,1:00.375
25,99,Silver Cup,"Alex Aka, Lorenzo Patrese",Tresor Attempto Racing,Audi R8 LMS GT3 EVO II,1:34.872,28,1:17.035
26,10,Gold Cup,"Cesar Gazeau, Adam Eteki",Boutsen VDS,Audi R8 LMS GT3 EVO II,1:37.291,24,44.906
NC,25,Pro Cup,"Patric Niederhauser, Erwan Bastard",Sainteloc Junior Team,Audi R8 LMS GT3 EVO II,1:37.909,12,-28:49.125
NC,88,Pro Cup,"Raffaele Marciello, Timur Boguslavskiy",AKKODIS ASP Team,Mercedes-AMG GT3 EVO,,2,-55:18.133
NC,68,Silver Cup,"Erwin Zanotti, Alex Frassineti",Nova Race,Honda NSX GT3 EVO 2,,2,-55:13.758
NC,12,Pro Cup,"Frederic Vervisch, Nicolas Baert",ComToYou Racing,Audi R8 LMS GT3 EVO II,,2,-55:09.625
